sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the Admissions Data File, 2023-24",,,,,,,,,
Introduction,1,(Provisional release),,,,,,,,,
Introduction,2,Filename,ADM2023,,,,,,,,
Introduction,3,Overview,"This file contains information about the undergraduate selection process for entering first-time, degree/certificate-seeking students. This includes information about admission considerations,  applicants, applicants that were admitted, and admitted students who enrolled. SAT and ACT test scores are included for institutions, that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students.  Beginning in  2022-23, new admissions considerations were added and the 50th percentile (median) for test scores are available for the first time.  Additional gender variables were added for students that do not fit the binary gender categories provided (men/women).  For more information go to the various worksheets in this workbook.  The possible values for the admission consideration variables have also changed from previous versions.  See frequencies for complete listing.  Writing scores for both SAT and ACT have been discontinued since 2016-17.
",,,,,,,,
Introduction,4,Note,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  							",,,,,,,,
Introduction,5,Contents of spreadsheet,,,,,,,,,
Introduction,6,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,7,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,8,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.,,,,,,,,
Introduction,9,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. ",,,,,,,,
Introduction,10,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,48,10646,SATMT75,N,3,Cont,XSATMT75,SAT Math 75th percentile score
varlist,49,10651,ACTCM25,N,3,Cont,XACTCM25,ACT Composite 25th percentile score
varlist,50,10653,ACTCM50,N,3,Cont,XACTCM50,ACT Composite 50th percentile score
varlist,51,10656,ACTCM75,N,3,Cont,XACTCM75,ACT Composite 75th percentile score
varlist,52,10661,ACTEN25,N,3,Cont,XACTEN25,ACT English 25th percentile score
varlist,53,10663,ACTEN50,N,3,Cont,XACTEN50,ACT English 50th percentile score
varlist,54,10666,ACTEN75,N,3,Cont,XACTEN75,ACT English 75th percentile score
varlist,55,10671,ACTMT25,N,3,Cont,XACTMT25,ACT Math 25th percentile score
varlist,56,10673,ACTMT50,N,3,Cont,XACTMT50,ACT Math 50th percentile score
varlist,57,10676,ACTMT75,N,3,Cont,XACTMT75,ACT Math 75th percentile score
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,10521,ADMCON1,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted, 
 Not considered for admission, even if submitted

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

Secondary school GPA"
Description,3,10526,ADMCON2,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted, 
 Not considered for admission, even if submitted

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

Secondary school rank"
Description,4,10531,ADMCON3,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted, 
 Not considered for admission, even if submitted

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

Secondary school record"
Description,5,10536,ADMCON4,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted, 
 Not considered for admission, even if submitted

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

Completion of college-preparatory program"
Description,6,10541,ADMCON5,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted, 
 Not considered for admission, even if submitted

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

Recommendations"
Description,7,10546,ADMCON6,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted, 
 Not considered for admission, even if submitted

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

Formal demonstration of competencies (e.g., portfolios, certificates of mastery, assessment instruments)"
Description,8,10551,ADMCON7,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted (test optional institutions) 
 Not considered for admission, even if submitted (test blind institutions) 

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

Admission test scores (SAT,ACT, etc,)

ADMISSIONS TEST SCORES - Scores on standardized admissions tests or special admissions tests 

SAT (SCHOLASTIC APTITUDE TEST) - An examination administered by the Educational Testing Service and used to predict the facility with which an individual will progress in learning college-level academic subjects. 

ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness."
Description,9,10556,ADMCON8,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process.

 Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted (test optional institutions) 
 Not considered for admission, even if submitted (test blind institutions) 

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

English Proficiency Test (for applicable students)"
Description,10,10559,ADMCON9,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted (test optional institutions) 
 Not considered for admission, even if submitted (test blind institutions) 

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 

Other Test (Wonderlic, WISC-III, etc.)"
Description,11,10548,ADMCON10,"Please select the option that best describes how your institution uses any of the following data in its undergraduate selection process. 

Admissions considerations - This question refers to the admission policy for entering first-time undergraduate students. Indicate the types of considerations that are used as part of the selection process for entering first-time degree/certificate-seeking students. For each, select one of the following options:
 Required to be considered for admission,
 Not required for admission, but considered if submitted, 
 Not considered for admission, even if submitted

This is applicable to institutions that do not have an open admission policy for entering first-time undergraduate students. 
 (e.g., portfolios, certificates of mastery, assessment instruments) 

Work experience"
