sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Description,11,90161,EAPPT,"Total number of part-time employees/staff on the institution’s payroll as of November 1 of the reporting year

Part-time staff (employees)  As determined by the institution. The type of appointment at the snapshot date determines whether an employee is full time or part time. The employee's term of contract is not considered in making the determination of full or part time. Casual employees (hired on an ad-hoc basis or occasional basis to meet short-term needs) and students in the College Work-Study Program (CWS) are not considered part-time staff."
Description,12,90166,EAPPTTYP,"Total number of part-time employees/staff (excluding medical schools) on the institution’s payroll as of November 1 of the reporting year

Part-time staff (employees)  As determined by the institution. The type of appointment at the snapshot date determines whether an employee is full time or part time. The employee's term of contract is not considered in making the determination of full or part time. Casual employees (hired on an ad-hoc basis or occasional basis to meet short-term needs) and students in the College Work-Study Program (CWS) are not considered part-time staff.

Medical school staff  - Staff employed by or staff working in the medical school (Doctor of Medicine [M.D.] and/or Doctor of Osteopathic Medicine [D.O.]) component of a postsecondary institution or in a free standing medical school. Does not include staff employed by or employees working strictly in a hospital associated with a medical school or those who work in health or allied health schools or departments such as dentistry, veterinary medicine, nursing or dental hygiene unless the health or allied health schools or departments are affiliated with (housed in or under the authority of) the medical school"
Description,13,90171,EAPPTMED,"Total number of part-time employees/staff (medical school) on the institution’s payroll as of November 1 of the reporting year

Part-time staff (employees)  As determined by the institution. The type of appointment at the snapshot date determines whether an employee is full time or part time. The employee's term of contract is not considered in making the determination of full or part time. Casual employees (hired on an ad-hoc basis or occasional basis to meet short-term needs) and students in the College Work-Study Program (CWS) are not considered part-time staff.

Medical school staff  - Staff employed by or staff working in the medical school (Doctor of Medicine [M.D.] and/or Doctor of Osteopathic Medicine [D.O.]) component of a postsecondary institution or in a free standing medical school. Does not include staff employed by or employees working strictly in a hospital associated with a medical school or those who work in health or allied health schools or departments such as dentistry, veterinary medicine, nursing or dental hygiene unless the health or allied health schools or departments are affiliated with (housed in or under the authority of) the medical school"
Frequencies,0,varnumber,varname,codevalue,valuelabel,frequency,percent
Frequencies,1,90101,EAPCAT,10000,All staff,5924,2.06
Frequencies,2,90101,EAPCAT,10010,"All staff, With faculty status",3499,1.21
Frequencies,3,90101,EAPCAT,10020,"All staff, Tenured",2043,0.71
Frequencies,4,90101,EAPCAT,10030,"All staff, On Tenure Track",1938,0.67
Frequencies,5,90101,EAPCAT,10040,"All staff, Not on Tenure Track/No Tenure system",3430,1.19
Frequencies,6,90101,EAPCAT,10042,"All staff, Annual contract",2423,0.84
