sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the Institutional Characteristics Data File, 2023-24",,,,,,,,,
Introduction,1,Student Charges for Full Academic Year ,,,,,,,,,
Introduction,2,(Provisional/Final release),,,,,,,,,
Introduction,3,,,,,,,,,,
Introduction,4,Filename,IC2023_AY
Introduction,5,Overview,"This file contains data on student charges for a full academic year.  Institutions that offer primarily academic programs measured in credit hours have a predominant calendar system of semester, quarter, trimester, or 4-1-4 or other academic calendar system report student charges for the full academic year.  Student charges on this data file include: average tuition and required fees for both full-time undergraduate and graduate students; per credit hour charges for both part-time undergraduate and graduate students;  Typical tuition and required fees for a full-time Doctor's - professional practice student in Chiropractic (D.C. or D.C.M.), Dentistry (D.D.S. or D.M.D.), Law (L.L.B. or J.D.), Medicine (M.D.), Optometry (O.D.), Osteopathic Medicine (D.O), Pharmacy (Pharm.D.), Podiatry (D.P.M., Pod.D., D.P.), or, Veterinary Medicine (D.V.M.), and Law (J.D.).
The price of attendance of full-time first-time undergraduates that are made available to the public on College Navigator is included on this file.  Price of attendance includes amounts for published tuition and required fees, books and supplies, room and board and other expenses.  Estimates for books and supplies, room and board and other expenses are those from the Cost of Attendance report used by the financial aid office in determining financial need.",,,,,,,,
Introduction,6,Note,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  Unlike for all other IPEDS data, the revision process for the cost of attendance data occurs in the current (rather than subsequent) data collection year as institutions report 4 years of cost of attendance data. As such, each year’s cost of attendance data release is considered both provisional and final.  ",,,,,,,,
Introduction,7,Contents of spreadsheet,,,,,,,,,
Introduction,8,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,9,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,10,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. ",,,,,,,,
Introduction,11,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,30,11771,OSPROF3,N,5,Cont,XOSPRO3,Medicine: Out-of-state tuition
varlist,31,11776,OSPFEE3,N,5,Cont,XOSPFE3,Medicine: Out-of-state required fees
varlist,32,11781,ISPROF4,N,5,Cont,XISPRO4,Optometry: In-state tuition
varlist,33,11786,ISPFEE4,N,5,Cont,XISPFE4,Optometry: In-state required fees
varlist,34,11791,OSPROF4,N,5,Cont,XOSPRO4,Optometry: Out-of-state tuition
varlist,35,11796,OSPFEE4,N,5,Cont,XOSPFE4,Optometry: Out-of-state required fees
varlist,36,11801,ISPROF5,N,5,Cont,XISPRO5,Osteopathic Medicine: In-state tuition
varlist,37,11806,ISPFEE5,N,5,Cont,XISPFE5,Osteopathic Medicine: In-state required fees
varlist,38,11811,OSPROF5,N,5,Cont,XOSPRO5,Osteopathic Medicine: Out-of-state tuition
varlist,39,11816,OSPFEE5,N,5,Cont,XOSPFE5,Osteopathic Medicine: Out-of-state required fees
varlist,40,11821,ISPROF6,N,5,Cont,XISPRO6,Pharmacy: In-state tuition
varlist,41,11826,ISPFEE6,N,5,Cont,XISPFE6,Pharmacy: In-state required fees
varlist,42,11831,OSPROF6,N,5,Cont,XOSPRO6,Pharmacy: Out-of-state tuition
varlist,43,11836,OSPFEE6,N,5,Cont,XOSPFE6,Pharmacy: Out-of-state required fees
varlist,44,11841,ISPROF7,N,5,Cont,XISPRO7,Podiatry: In-state tuition
varlist,45,11846,ISPFEE7,N,5,Cont,XISPFE7,Podiatry: In-state required fees
varlist,46,11851,OSPROF7,N,5,Cont,XOSPRO7,Podiatry: Out-of-state tuition
varlist,47,11856,OSPFEE7,N,5,Cont,XOSPFE7,Podiatry: Out-of-state required fees
varlist,48,11861,ISPROF8,N,5,Cont,XISPRO8,Veterinary Medicine: In-state tuition
varlist,49,11866,ISPFEE8,N,5,Cont,XISPFE8,Veterinary Medicine: In-state required fees
varlist,50,11871,OSPROF8,N,5,Cont,XOSPRO8,Veterinary Medicine: Out-of-state tuition
varlist,51,11876,OSPFEE8,N,5,Cont,XOSPFE8,Veterinary Medicine: Out-of-state required fees
varlist,52,11881,ISPROF9,N,5,Cont,XISPRO9,Law: In-state tuition
varlist,53,11886,ISPFEE9,N,5,Cont,XISPFE9,Law: In-state required fees
varlist,54,11891,OSPROF9,N,5,Cont,XOSPRO9,Law: Out-of-state tuition
varlist,55,11896,OSPFEE9,N,5,Cont,XOSPFE9,Law: Out-of-state required fees
varlist,56,15262,CHG1AT0,N,5,Cont,Xchg1at0,Published in-district tuition 2020-21
varlist,57,15263,CHG1AF0,N,5,Cont,Xchg1af0,Published in-district fees 2020-21
varlist,58,15261,CHG1AY0,N,5,Cont,Xchg1ay0,Published in-district tuition and fees 2020-21
