year,UNITID,EFBAGE,LINE,LSTUDY,XEFAGE01,EFAGE01,XEFAGE02,EFAGE02,XEFAGE03,EFAGE03,XEFAGE04,EFAGE04,XEFAGE05,EFAGE05,XEFAGE06,EFAGE06,XEFAGE07,EFAGE07,XEFAGE08,EFAGE08,XEFAGE09,EFAGE09 
2022,110404, 5,  3,2,R,259,R,185,Z,0,Z,0,R,444,Z,0,R,259,R,185,R,444
2022,110404, 5,  3,5,R,18,R,5,Z,0,Z,0,R,23,Z,0,R,18,R,5,R,23
2022,110404, 6,  4,1,R,363,R,208,Z,0,Z,0,R,571,Z,0,R,363,R,208,R,571
2022,110404, 6,  4,2,R,47,R,24,Z,0,Z,0,R,71,Z,0,R,47,R,24,R,71
2022,110404, 6,  4,5,R,316,R,184,Z,0,Z,0,R,500,Z,0,R,316,R,184,R,500
2022,110404, 7,999,1,R,594,R,306,Z,0,Z,0,R,900,Z,0,R,594,R,306,R,900
2022,110404, 7,999,2,R,1,R,3,Z,0,Z,0,R,4,Z,0,R,1,R,3,R,4
2022,110404, 7,999,5,R,593,R,303,Z,0,Z,0,R,896,Z,0,R,593,R,303,R,896
2022,110404, 8,  5,1,R,492,R,270,Z,0,Z,0,R,762,Z,0,R,492,R,270,R,762
2022,110404, 8,  5,2,R,1,R,3,Z,0,Z,0,R,4,Z,0,R,1,R,3,R,4
2022,110404, 8,  5,5,R,491,R,267,Z,0,Z,0,R,758,Z,0,R,491,R,267,R,758
2022,110404, 9,  6,1,R,92,R,31,Z,0,Z,0,R,123,Z,0,R,92,R,31,R,123
2022,110404, 9,  6,5,R,92,R,31,Z,0,Z,0,R,123,Z,0,R,92,R,31,R,123
2022,110404,10,  7,1,R,9,R,4,Z,0,Z,0,R,13,Z,0,R,9,R,4,R,13
2022,110404,10,  7,5,R,9,R,4,Z,0,Z,0,R,13,Z,0,R,9,R,4,R,13
2022,110404,11,  8,1,R,1,R,1,Z,0,Z,0,R,2,Z,0,R,1,R,1,R,2
2022,110404,11,  8,5,R,1,R,1,Z,0,Z,0,R,2,Z,0,R,1,R,1,R,2
2022,110635, 1,412,1,R,18628,R,22394,R,2357,R,1928,R,41022,R,4285,R,20985,R,24322,R,45307
2022,110635, 1,112,2,R,13636,R,17188,R,799,R,856,R,30824,R,1655,R,14435,R,18044,R,32479
2022,110635, 1,312,5,R,4992,R,5206,R,1558,R,1072,R,10198,R,2630,R,6550,R,6278,R,12828
2022,110635, 2,999,1,R,14561,R,18247,R,749,R,747,R,32808,R,1496,R,15310,R,18994,R,34304
2022,110635, 2,999,2,R,12957,R,16641,R,602,R,627,R,29598,R,1229,R,13559,R,17268,R,30827
2022,110635, 2,999,5,R,1604,R,1606,R,147,R,120,R,3210,R,267,R,1751,R,1726,R,3477
2022,110635, 3,  1,1,R,275,R,550,R,3,R,0,R,825,R,3,R,278,R,550,R,828
2022,110635, 3,  1,2,R,275,R,550,R,3,R,0,R,825,R,3,R,278,R,550,R,828
2022,110635, 4,  2,1,R,5299,R,7590,R,62,R,94,R,12889,R,156,R,5361,R,7684,R,13045
2022,110635, 4,  2,2,R,5299,R,7588,R,62,R,94,R,12887,R,156,R,5361,R,7682,R,13043
2022,110635, 4,  2,5,R,0,R,2,Z,0,Z,0,R,2,Z,0,R,0,R,2,R,2
2022,110635, 5,  3,1,R,5885,R,7074,R,300,R,314,R,12959,R,614,R,6185,R,7388,R,13573
2022,110635, 5,  3,2,R,5764,R,6977,R,297,R,307,R,12741,R,604,R,6061,R,7284,R,13345
2022,110635, 5,  3,5,R,121,R,97,R,3,R,7,R,218,R,10,R,124,R,104,R,228
2022,110635, 6,  4,1,R,3102,R,3033,R,384,R,339,R,6135,R,723,R,3486,R,3372,R,6858
2022,110635, 6,  4,2,R,1619,R,1526,R,240,R,226,R,3145,R,466,R,1859,R,1752,R,3611
2022,110635, 6,  4,5,R,1483,R,1507,R,144,R,113,R,2990,R,257,R,1627,R,1620,R,3247
2022,110635, 7,999,1,R,4067,R,4147,R,1608,R,1181,R,8214,R,2789,R,5675,R,5328,R,11003
2022,110635, 7,999,2,R,679,R,547,R,197,R,229,R,1226,R,426,R,876,R,776,R,1652
2022,110635, 7,999,5,R,3388,R,3600,R,1411,R,952,R,6988,R,2363,R,4799,R,4552,R,9351
2022,110635, 8,  5,1,R,2668,R,2780,R,480,R,435,R,5448,R,915,R,3148,R,3215,R,6363
2022,110635, 8,  5,2,R,440,R,323,R,96,R,99,R,763,R,195,R,536,R,422,R,958
2022,110635, 8,  5,5,R,2228,R,2457,R,384,R,336,R,4685,R,720,R,2612,R,2793,R,5405
2022,110635, 9,  6,1,R,943,R,903,R,542,R,360,R,1846,R,902,R,1485,R,1263,R,2748
2022,110635, 9,  6,2,R,144,R,118,R,48,R,59,R,262,R,107,R,192,R,177,R,369
2022,110635, 9,  6,5,R,799,R,785,R,494,R,301,R,1584,R,795,R,1293,R,1086,R,2379
2022,110635,10,  7,1,R,289,R,279,R,288,R,181,R,568,R,469,R,577,R,460,R,1037
2022,110635,10,  7,2,R,54,R,53,R,29,R,23,R,107,R,52,R,83,R,76,R,159
2022,110635,10,  7,5,R,235,R,226,R,259,R,158,R,461,R,417,R,494,R,384,R,878
2022,110635,11,  8,1,R,136,R,153,R,233,R,160,R,289,R,393,R,369,R,313,R,682
2022,110635,11,  8,2,R,28,R,41,R,16,R,31,R,69,R,47,R,44,R,72,R,116
2022,110635,11,  8,5,R,108,R,112,R,217,R,129,R,220,R,346,R,325,R,241,R,566
2022,110635,12,  9,1,R,29,R,28,R,64,R,40,R,57,R,104,R,93,R,68,R,161
2022,110635,12,  9,2,R,12,R,8,R,8,R,15,R,20,R,23,R,20,R,23,R,43
2022,110635,12,  9,5,R,17,R,20,R,56,R,25,R,37,R,81,R,73,R,45,R,118
2022,110635,13, 10,1,R,2,R,4,R,1,R,5,R,6,R,6,R,3,R,9,R,12
2022,110635,13, 10,2,R,1,R,4,R,0,R,2,R,5,R,2,R,1,R,6,R,7
2022,110635,13, 10,5,R,1,R,0,R,1,R,3,R,1,R,4,R,2,R,3,R,5
2022,110644, 1,412,1,R,15521,R,22551,R,740,R,867,R,38072,R,1607,R,16261,R,23418,R,39679
2022,110644, 1,112,2,R,12313,R,18360,R,386,R,473,R,30673,R,859,R,12699,R,18833,R,31532
2022,110644, 1,312,5,R,3208,R,4191,R,354,R,394,R,7399,R,748,R,3562,R,4585,R,8147
2022,110644, 2,999,1,R,12579,R,19008,R,344,R,452,R,31587,R,796,R,12923,R,19460,R,32383
2022,110644, 2,999,2,R,11773,R,17778,R,308,R,382,R,29551,R,690,R,12081,R,18160,R,30241
2022,110644, 2,999,5,R,806,R,1230,R,36,R,70,R,2036,R,106,R,842,R,1300,R,2142
2022,110644, 3,  1,1,R,272,R,541,R,6,R,8,R,813,R,14,R,278,R,549,R,827
2022,110644, 3,  1,2,R,272,R,541,R,6,R,8,R,813,R,14,R,278,R,549,R,827
2022,110644, 4,  2,1,R,4895,R,7752,R,54,R,89,R,12647,R,143,R,4949,R,7841,R,12790
2022,110644, 4,  2,2,R,4894,R,7752,R,53,R,89,R,12646,R,142,R,4947,R,7841,R,12788
2022,110644, 4,  2,5,R,1,R,0,R,1,R,0,R,1,R,1,R,2,R,0,R,2
2022,110644, 5,  3,1,R,4828,R,7597,R,102,R,118,R,12425,R,220,R,4930,R,7715,R,12645
2022,110644, 5,  3,2,R,4785,R,7545,R,102,R,117,R,12330,R,219,R,4887,R,7662,R,12549
2022,110644, 5,  3,5,R,43,R,52,R,0,R,1,R,95,R,1,R,43,R,53,R,96
2022,110644, 6,  4,1,R,2584,R,3118,R,182,R,237,R,5702,R,419,R,2766,R,3355,R,6121
2022,110644, 6,  4,2,R,1822,R,1940,R,147,R,168,R,3762,R,315,R,1969,R,2108,R,4077
2022,110644, 6,  4,5,R,762,R,1178,R,35,R,69,R,1940,R,104,R,797,R,1247,R,2044
2022,110644, 7,999,1,R,2942,R,3543,R,396,R,415,R,6485,R,811,R,3338,R,3958,R,7296
2022,110644, 7,999,2,R,540,R,582,R,78,R,91,R,1122,R,169,R,618,R,673,R,1291
2022,110644, 7,999,5,R,2402,R,2961,R,318,R,324,R,5363,R,642,R,2720,R,3285,R,6005
2022,110644, 8,  5,1,R,1857,R,2298,R,136,R,173,R,4155,R,309,R,1993,R,2471,R,4464
2022,110644, 8,  5,2,R,383,R,398,R,50,R,55,R,781,R,105,R,433,R,453,R,886
2022,110644, 8,  5,5,R,1474,R,1900,R,86,R,118,R,3374,R,204,R,1560,R,2018,R,3578
2022,110644, 9,  6,1,R,717,R,765,R,107,R,85,R,1482,R,192,R,824,R,850,R,1674
2022,110644, 9,  6,2,R,104,R,115,R,18,R,15,R,219,R,33,R,122,R,130,R,252
2022,110644, 9,  6,5,R,613,R,650,R,89,R,70,R,1263,R,159,R,702,R,720,R,1422
2022,110644,10,  7,1,R,201,R,243,R,62,R,68,R,444,R,130,R,263,R,311,R,574
2022,110644,10,  7,2,R,26,R,34,R,2,R,10,R,60,R,12,R,28,R,44,R,72
2022,110644,10,  7,5,R,175,R,209,R,60,R,58,R,384,R,118,R,235,R,267,R,502
2022,110644,11,  8,1,R,139,R,176,R,70,R,64,R,315,R,134,R,209,R,240,R,449
2022,110644,11,  8,2,R,23,R,27,R,5,R,6,R,50,R,11,R,28,R,33,R,61
2022,110644,11,  8,5,R,116,R,149,R,65,R,58,R,265,R,123,R,181,R,207,R,388
2022,110644,12,  9,1,R,28,R,59,R,18,R,24,R,87,R,42,R,46,R,83,R,129
2022,110644,12,  9,2,R,4,R,7,R,2,R,4,R,11,R,6,R,6,R,11,R,17
2022,110644,12,  9,5,R,24,R,52,R,16,R,20,R,76,R,36,R,40,R,72,R,112
2022,110644,13, 10,1,R,0,R,2,R,3,R,1,R,2,R,4,R,3,R,3,R,6
2022,110644,13, 10,2,R,0,R,1,R,1,R,1,R,1,R,2,R,1,R,2,R,3
2022,110644,13, 10,5,R,0,R,1,R,2,R,0,R,1,R,2,R,2,R,1,R,3
2022,110653, 1,412,1,R,15653,R,19080,R,604,R,600,R,34733,R,1204,R,16257,R,19680,R,35937
2022,110653, 1,112,2,R,12213,R,15719,R,371,R,359,R,27932,R,730,R,12584,R,16078,R,28662
2022,110653, 1,312,5,R,3440,R,3361,R,233,R,241,R,6801,R,474,R,3673,R,3602,R,7275
2022,110653, 2,999,1,R,13006,R,16506,R,362,R,367,R,29512,R,729,R,13368,R,16873,R,30241
2022,110653, 2,999,2,R,11790,R,15325,R,309,R,305,R,27115,R,614,R,12099,R,15630,R,27729
2022,110653, 2,999,5,R,1216,R,1181,R,53,R,62,R,2397,R,115,R,1269,R,1243,R,2512
2022,110653, 3,  1,1,R,223,R,530,R,0,R,2,R,753,R,2,R,223,R,532,R,755
2022,110653, 3,  1,2,R,223,R,530,R,0,R,2,R,753,R,2,R,223,R,532,R,755
2022,110653, 4,  2,1,R,4508,R,6877,R,21,R,34,R,11385,R,55,R,4529,R,6911,R,11440
2022,110653, 4,  2,2,R,4506,R,6876,R,20,R,34,R,11382,R,54,R,4526,R,6910,R,11436
2022,110653, 4,  2,5,R,2,R,1,R,1,R,0,R,3,R,1,R,3,R,1,R,4
2022,110653, 5,  3,1,R,5449,R,6659,R,129,R,152,R,12108,R,281,R,5578,R,6811,R,12389
2022,110653, 5,  3,2,R,5384,R,6556,R,128,R,148,R,11940,R,276,R,5512,R,6704,R,12216
2022,110653, 5,  3,5,R,65,R,103,R,1,R,4,R,168,R,5,R,66,R,107,R,173
2022,110653, 6,  4,1,R,2826,R,2440,R,212,R,179,R,5266,R,391,R,3038,R,2619,R,5657
2022,110653, 6,  4,2,R,1677,R,1363,R,161,R,121,R,3040,R,282,R,1838,R,1484,R,3322
2022,110653, 6,  4,5,R,1149,R,1077,R,51,R,58,R,2226,R,109,R,1200,R,1135,R,2335
2022,110653, 7,999,1,R,2647,R,2574,R,242,R,233,R,5221,R,475,R,2889,R,2807,R,5696
2022,110653, 7,999,2,R,423,R,394,R,62,R,54,R,817,R,116,R,485,R,448,R,933
2022,110653, 7,999,5,R,2224,R,2180,R,180,R,179,R,4404,R,359,R,2404,R,2359,R,4763
2022,110653, 8,  5,1,R,1755,R,1713,R,128,R,116,R,3468,R,244,R,1883,R,1829,R,3712
2022,110653, 8,  5,2,R,287,R,243,R,49,R,31,R,530,R,80,R,336,R,274,R,610
2022,110653, 8,  5,5,R,1468,R,1470,R,79,R,85,R,2938,R,164,R,1547,R,1555,R,3102
2022,110653, 9,  6,1,R,553,R,505,R,67,R,63,R,1058,R,130,R,620,R,568,R,1188
2022,110653, 9,  6,2,R,69,R,77,R,7,R,11,R,146,R,18,R,76,R,88,R,164
2022,110653, 9,  6,5,R,484,R,428,R,60,R,52,R,912,R,112,R,544,R,480,R,1024
2022,110653,10,  7,1,R,191,R,180,R,30,R,28,R,371,R,58,R,221,R,208,R,429
2022,110653,10,  7,2,R,32,R,42,R,5,R,7,R,74,R,12,R,37,R,49,R,86
2022,110653,10,  7,5,R,159,R,138,R,25,R,21,R,297,R,46,R,184,R,159,R,343
2022,110653,11,  8,1,R,116,R,135,R,14,R,20,R,251,R,34,R,130,R,155,R,285
2022,110653,11,  8,2,R,23,R,24,R,1,R,4,R,47,R,5,R,24,R,28,R,52
2022,110653,11,  8,5,R,93,R,111,R,13,R,16,R,204,R,29,R,106,R,127,R,233
2022,110653,12,  9,1,R,31,R,38,R,3,R,6,R,69,R,9,R,34,R,44,R,78
2022,110653,12,  9,2,R,12,R,5,R,0,R,1,R,17,R,1,R,12,R,6,R,18
2022,110653,12,  9,5,R,19,R,33,R,3,R,5,R,52,R,8,R,22,R,38,R,60
2022,110653,13, 10,1,R,1,R,3,Z,0,Z,0,R,4,Z,0,R,1,R,3,R,4
2022,110653,13, 10,2,R,0,R,3,Z,0,Z,0,R,3,Z,0,R,0,R,3,R,3
2022,110653,13, 10,5,R,1,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,0,R,1
2022,110662, 1,412,1,R,18679,R,25711,R,1190,R,850,R,44390,R,2040,R,19869,R,26561,R,46430
2022,110662, 1,112,2,R,12533,R,19230,R,320,R,340,R,31763,R,660,R,12853,R,19570,R,32423
2022,110662, 1,312,5,R,6146,R,6481,R,870,R,510,R,12627,R,1380,R,7016,R,6991,R,14007
2022,110662, 2,999,1,R,13890,R,20744,R,449,R,447,R,34634,R,896,R,14339,R,21191,R,35530
2022,110662, 2,999,2,R,12002,R,18739,R,268,R,301,R,30741,R,569,R,12270,R,19040,R,31310
2022,110662, 2,999,5,R,1888,R,2005,R,181,R,146,R,3893,R,327,R,2069,R,2151,R,4220
2022,110662, 3,  1,1,R,261,R,507,R,1,R,1,R,768,R,2,R,262,R,508,R,770
2022,110662, 3,  1,2,R,261,R,507,R,1,R,1,R,768,R,2,R,262,R,508,R,770
2022,110662, 4,  2,1,R,4719,R,8169,R,31,R,45,R,12888,R,76,R,4750,R,8214,R,12964
2022,110662, 4,  2,2,R,4717,R,8167,R,31,R,45,R,12884,R,76,R,4748,R,8212,R,12960
2022,110662, 4,  2,5,R,2,R,2,Z,0,Z,0,R,4,Z,0,R,2,R,2,R,4
2022,110662, 5,  3,1,R,5834,R,8896,R,151,R,184,R,14730,R,335,R,5985,R,9080,R,15065
2022,110662, 5,  3,2,R,5719,R,8763,R,143,R,178,R,14482,R,321,R,5862,R,8941,R,14803
2022,110662, 5,  3,5,R,115,R,133,R,8,R,6,R,248,R,14,R,123,R,139,R,262
2022,110662, 6,  4,1,R,3076,R,3172,R,266,R,217,R,6248,R,483,R,3342,R,3389,R,6731
2022,110662, 6,  4,2,R,1305,R,1302,R,93,R,77,R,2607,R,170,R,1398,R,1379,R,2777
2022,110662, 6,  4,5,R,1771,R,1870,R,173,R,140,R,3641,R,313,R,1944,R,2010,R,3954
2022,110662, 7,999,1,R,4789,R,4967,R,741,R,403,R,9756,R,1144,R,5530,R,5370,R,10900
2022,110662, 7,999,2,R,531,R,491,R,52,R,39,R,1022,R,91,R,583,R,530,R,1113
2022,110662, 7,999,5,R,4258,R,4476,R,689,R,364,R,8734,R,1053,R,4947,R,4840,R,9787
2022,110662, 8,  5,1,R,2956,R,3004,R,349,R,194,R,5960,R,543,R,3305,R,3198,R,6503
2022,110662, 8,  5,2,R,371,R,249,R,23,R,16,R,620,R,39,R,394,R,265,R,659
2022,110662, 8,  5,5,R,2585,R,2755,R,326,R,178,R,5340,R,504,R,2911,R,2933,R,5844
2022,110662, 9,  6,1,R,1161,R,1149,R,238,R,106,R,2310,R,344,R,1399,R,1255,R,2654
2022,110662, 9,  6,2,R,89,R,121,R,15,R,7,R,210,R,22,R,104,R,128,R,232
2022,110662, 9,  6,5,R,1072,R,1028,R,223,R,99,R,2100,R,322,R,1295,R,1127,R,2422
2022,110662,10,  7,1,R,382,R,436,R,97,R,49,R,818,R,146,R,479,R,485,R,964
2022,110662,10,  7,2,R,35,R,51,R,7,R,7,R,86,R,14,R,42,R,58,R,100
2022,110662,10,  7,5,R,347,R,385,R,90,R,42,R,732,R,132,R,437,R,427,R,864
2022,110662,11,  8,1,R,246,R,280,R,41,R,43,R,526,R,84,R,287,R,323,R,610
2022,110662,11,  8,2,R,26,R,44,R,5,R,6,R,70,R,11,R,31,R,50,R,81
2022,110662,11,  8,5,R,220,R,236,R,36,R,37,R,456,R,73,R,256,R,273,R,529
2022,110662,12,  9,1,R,43,R,93,R,15,R,11,R,136,R,26,R,58,R,104,R,162
2022,110662,12,  9,2,R,9,R,25,R,2,R,3,R,34,R,5,R,11,R,28,R,39
2022,110662,12,  9,5,R,34,R,68,R,13,R,8,R,102,R,21,R,47,R,76,R,123
2022,110662,13, 10,1,R,1,R,5,R,1,R,0,R,6,R,1,R,2,R,5,R,7
2022,110662,13, 10,2,R,1,R,1,Z,0,Z,0,R,2,Z,0,R,1,R,1,R,2
2022,110662,13, 10,5,R,0,R,4,R,1,R,0,R,4,R,1,R,1,R,4,R,5
2022,110671, 1,412,1,R,12494,R,13062,R,699,R,554,R,25556,R,1253,R,13193,R,13616,R,26809
