year,UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL1A,LEVEL1B,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,CALSYS,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,OPENADMP,VET1,VET2,VET3,VET4,VET5,VET9,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBRES1,LIBRES2,LIBRES3,LIBRES4,LIBRES5,LIBRES6,LIBRES9,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DSTNUGC,DSTNUGP,DSTNUGN,DSTNGC,DSTNGP,DSTNGN,DISTCRS,DISTPGS,DSTNCED1,DSTNCED2,DSTNCED3,DISTNCED,DISAB,XDISABPC,DISABPCT,ALLONCAM,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4 ,PEO7ISTR,NONCRDT1,NONCRDT2,NONCRDT3,NONCRDT4,NONCRDT5,NONCRDT6,NONCRDT7,NONCRDT8,NONCRDT9,SLO521,SLOA,SLOB,PRMPGM,TUITVRY1,TUITVRY2,TUITVRY3,CONFNO4,ENRHSST,ENRHSST1,ENRHSST2
2020,121150,0,1,0,0,0,0,4,-2,-2,74,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,R,11 ,2,2,1,R,2585,2,A,.,A,.,A,.,R,16160,R,65,R,65,1,1,0,0,0,0,0,2,-2,1,136,1,136,1,136,,,,,,,,,,,,,,,,,,,,,
2020,122931,0,1,0,0,0,0,4,-2,-2,30,0,0,0,0,0,0,1,1,1,1,0,1,1,0,2,1,1,1,1,1,1,1,1,2,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,-2,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,2,2,R,16 ,2,2,1,R,3537,2,A,.,A,.,A,.,R,15972,R,75,R,73,1,1,0,0,0,0,0,2,-2,1,136,1,136,1,136,,,,,,,,,,,,,,,,,,,,,
2020,123961,0,1,0,0,0,0,3,-2,-2,-2,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,2,1,A,. ,2,2,1,R,8700,2,A,.,R,9900,R,6498,A,.,R,85,R,90,1,1,0,0,0,0,0,1,127,1,127,1,127,1,127,,,,,,,,,,,,,,,,,,,,,
2020,126614,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,1,A,. ,2,1,1,R,7550,1,R,19,A,.,A,.,R,15220,R,50,R,60,1,1,0,0,0,0,0,1,127,1,127,2,-2,1,127,,,,,,,,,,,,,,,,,,,,,
2020,126775,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,2,R,6 ,2,1,1,R,2483,2,A,.,R,8800,R,5920,A,.,R,45,R,60,1,1,0,0,0,0,0,1,159,1,159,1,159,1,159,,,,,,,,,,,,,,,,,,,,,
2020,129020,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,2,R,17 ,2,1,1,R,12040,2,A,.,R,7238,R,6020,A,.,R,80,R,75,1,1,0,0,0,0,0,1,104,1,104,1,104,1,104,,,,,,,,,,,,,,,,,,,,,
2020,130794,0,1,0,0,0,0,3,-2,-2,-2,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2,2,R,16 ,1,2,1,R,5576,2,A,.,R,9750,R,7450,A,.,R,80,R,105,1,1,0,0,0,0,0,1,117,1,117,1,117,1,117,,,,,,,,,,,,,,,,,,,,,
2020,130943,0,1,1,0,0,0,1,9,0,-2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,4,1,1,1,1,1,1,1,2,2,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,R,12 ,2,1,1,R,6886,1,R,19,R,8152,R,5320,A,.,R,75,R,75,1,1,0,0,0,0,0,1,110,1,110,1,110,1,110,,,,,,,,,,,,,,,,,,,,,
2020,131159,0,1,0,0,0,0,4,-2,-2,71,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,R,9 ,2,2,1,R,4219,2,A,.,R,10096,R,6100,A,.,R,75,R,65,1,1,0,0,0,0,0,2,-2,1,128,2,-2,1,128,,,,,,,,,,,,,,,,,,,,,
2020,131469,0,1,1,0,0,0,3,-2,-2,-2,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,R,9 ,2,2,1,R,7181,2,A,.,R,15360,R,3140,A,.,R,80,R,80,1,1,0,0,0,0,0,2,-2,1,103,1,103,1,103,,,,,,,,,,,,,,,,,,,,,
