year,UNITID,OMCHRT,XOMRCHRT,OMRCHRT,XOMEXCLS,OMEXCLS,XOMACHRT,OMACHRT,XOMCERT4,OMCERT4,XOMASSC4,OMASSC4,XOMBACH4,OMBACH4,XOMAWDN4,OMAWDN4,XOMAWDP4,OMAWDP4,XOMCERT6,OMCERT6,XOMASSC6,OMASSC6,XOMBACH6,OMBACH6,XOMAWDN6,OMAWDN6,XOMAWDP6,OMAWDP6,XOMCERT8,OMCERT8,XOMASSC8,OMASSC8,XOMBACH8,OMBACH8,XOMAWDN8,OMAWDN8,XOMENRYI,OMENRYI,XOMENRAI,OMENRAI,XOMENRUN,OMENRUN,XOMNOAWD,OMNOAWD,XOMAWDP8,OMAWDP8,XOMENRTP,OMENRTP,XOMENRYP,OMENRYP,XOMENRAP,OMENRAP,XOMENRUP,OMENRUP 
2019,110714,12,R,2082,R,9,R,2073,R,0,R,0,R,1199,R,1199,R,58,R,0,R,0,R,1647,R,1647,R,79,R,0,R,0,R,1680,R,1680,R,3,R,136,R,254,R,393,R,81,R,7,R,0,R,7,R,12
2019,110714,20,R,8,R,0,R,8,R,0,R,0,R,2,R,2,R,25,R,0,R,0,R,6,R,6,R,75,R,0,R,0,R,6,R,6,R,0,R,0,R,2,R,2,R,75,R,0,R,0,R,0,R,25
2019,110714,21,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,100,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,100,R,0,R,0,R,0,R,0
2019,110714,22,R,7,R,0,R,7,R,0,R,0,R,2,R,2,R,29,R,0,R,0,R,5,R,5,R,71,R,0,R,0,R,5,R,5,R,0,R,0,R,2,R,2,R,71,R,0,R,0,R,0,R,29
2019,110714,30,R,1195,R,0,R,1195,R,0,R,0,R,990,R,990,R,83,R,0,R,0,R,1016,R,1016,R,85,R,0,R,0,R,1027,R,1027,R,1,R,33,R,134,R,168,R,86,R,3,R,0,R,3,R,11
2019,110714,31,R,571,R,0,R,571,R,0,R,0,R,470,R,470,R,82,R,0,R,0,R,486,R,486,R,85,R,0,R,0,R,489,R,489,R,0,R,17,R,65,R,82,R,86,R,3,R,0,R,3,R,11
2019,110714,32,R,624,R,0,R,624,R,0,R,0,R,520,R,520,R,83,R,0,R,0,R,530,R,530,R,85,R,0,R,0,R,538,R,538,R,1,R,16,R,69,R,86,R,86,R,3,R,0,R,3,R,11
2019,110714,40,R,46,R,0,R,46,R,0,R,0,R,22,R,22,R,48,R,0,R,0,R,26,R,26,R,57,R,0,R,0,R,26,R,26,R,0,R,0,R,20,R,20,R,57,R,0,R,0,R,0,R,43
2019,110714,41,R,20,R,0,R,20,R,0,R,0,R,9,R,9,R,45,R,0,R,0,R,10,R,10,R,50,R,0,R,0,R,10,R,10,R,0,R,0,R,10,R,10,R,50,R,0,R,0,R,0,R,50
2019,110714,42,R,26,R,0,R,26,R,0,R,0,R,13,R,13,R,50,R,0,R,0,R,16,R,16,R,62,R,0,R,0,R,16,R,16,R,0,R,0,R,10,R,10,R,62,R,0,R,0,R,0,R,38
2019,110714,50,R,4849,R,10,R,4839,R,0,R,0,R,2911,R,2911,R,60,R,0,R,0,R,3840,R,3840,R,79,R,0,R,0,R,3914,R,3914,R,6,R,228,R,691,R,925,R,81,R,5,R,0,R,5,R,14
2019,110714,51,R,2110,R,1,R,2109,R,0,R,0,R,1177,R,1177,R,56,R,0,R,0,R,1642,R,1642,R,78,R,0,R,0,R,1675,R,1675,R,2,R,76,R,356,R,434,R,79,R,4,R,0,R,4,R,17
2019,110714,52,R,2739,R,9,R,2730,R,0,R,0,R,1734,R,1734,R,64,R,0,R,0,R,2198,R,2198,R,81,R,0,R,0,R,2239,R,2239,R,4,R,152,R,335,R,491,R,82,R,6,R,0,R,6,R,12
2019,121150,10,R,688,R,0,R,688,R,0,R,0,R,528,R,528,R,77,R,0,R,0,R,584,R,584,R,85,R,0,R,0,R,586,R,586,R,1,R,86,R,15,R,102,R,85,R,13,R,0,R,13,R,2
2019,121150,11,R,163,R,0,R,163,R,0,R,0,R,121,R,121,R,74,R,0,R,0,R,136,R,136,R,83,R,0,R,0,R,137,R,137,R,0,R,22,R,4,R,26,R,84,R,13,R,0,R,13,R,2
2019,121150,12,R,525,R,0,R,525,R,0,R,0,R,407,R,407,R,78,R,0,R,0,R,448,R,448,R,85,R,0,R,0,R,449,R,449,R,1,R,64,R,11,R,76,R,86,R,12,R,0,R,12,R,2
2019,121150,30,R,162,R,0,R,162,R,0,R,0,R,113,R,113,R,70,R,0,R,0,R,131,R,131,R,81,R,0,R,0,R,132,R,132,R,0,R,24,R,6,R,30,R,81,R,15,R,0,R,15,R,4
2019,121150,31,R,28,R,0,R,28,R,0,R,0,R,23,R,23,R,82,R,0,R,0,R,24,R,24,R,86,R,0,R,0,R,24,R,24,R,0,R,4,R,0,R,4,R,86,R,14,R,0,R,14,R,0
2019,121150,32,R,134,R,0,R,134,R,0,R,0,R,90,R,90,R,67,R,0,R,0,R,107,R,107,R,80,R,0,R,0,R,108,R,108,R,0,R,20,R,6,R,26,R,81,R,15,R,0,R,15,R,4
2019,121150,40,R,120,R,0,R,120,R,0,R,0,R,87,R,87,R,73,R,0,R,0,R,91,R,91,R,76,R,0,R,0,R,93,R,93,R,0,R,14,R,13,R,27,R,78,R,12,R,0,R,12,R,11
2019,121150,41,R,53,R,0,R,53,R,0,R,0,R,45,R,45,R,85,R,0,R,0,R,46,R,46,R,87,R,0,R,0,R,46,R,46,R,0,R,5,R,2,R,7,R,87,R,9,R,0,R,9,R,4
2019,121150,42,R,67,R,0,R,67,R,0,R,0,R,42,R,42,R,63,R,0,R,0,R,45,R,45,R,67,R,0,R,0,R,47,R,47,R,0,R,9,R,11,R,20,R,70,R,13,R,0,R,13,R,16
2019,121150,50,R,970,R,0,R,970,R,0,R,0,R,728,R,728,R,75,R,0,R,0,R,806,R,806,R,83,R,0,R,0,R,811,R,811,R,1,R,124,R,34,R,159,R,84,R,13,R,0,R,13,R,4
