year,UNITID,STAFFCAT,FTPT,OCCUPCAT,SABDTYPE,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2023,100858,1370,1,370,-2,R,734,R,74,R,660,R,1,Z,0,R,1,R,10,R,2,R,8,R,140,R,8,R,132,R,21,R,2,R,19,Z,0,Z,0,Z,0,R,543,R,61,R,482,R,10,R,1,R,9,R,7,Z,0,R,7,R,2,Z,0,R,2
2023,100858,1380,1,380,-2,R,510,R,418,R,92,R,6,R,6,Z,0,R,4,R,2,R,2,R,61,R,45,R,16,R,17,R,10,R,7,Z,0,Z,0,Z,0,R,407,R,343,R,64,R,6,R,5,R,1,R,4,R,3,R,1,R,5,R,4,R,1
2023,100858,1390,1,390,-2,R,59,R,51,R,8,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6,R,5,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,52,R,46,R,6,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,2100,2,100,10,R,5895,R,2738,R,3157,R,19,R,11,R,8,R,270,R,164,R,106,R,656,R,215,R,441,R,186,R,80,R,106,R,2,R,2,R,0,R,4462,R,2085,R,2377,R,73,R,37,R,36,R,40,R,19,R,21,R,187,R,125,R,62
2023,100858,2200,2,200,11,R,1734,R,950,R,784,R,5,R,2,R,3,R,193,R,136,R,57,R,105,R,32,R,73,R,69,R,29,R,40,R,0,R,0,R,0,R,1241,R,671,R,570,R,23,R,12,R,11,R,10,R,7,R,3,R,88,R,61,R,27
2023,100858,2210,2,210,-2,R,1466,R,850,R,616,R,4,R,1,R,3,R,185,R,130,R,55,R,66,R,25,R,41,R,60,R,29,R,31,R,0,R,0,R,0,R,1046,R,594,R,452,R,18,R,10,R,8,R,10,R,7,R,3,R,77,R,54,R,23
2023,100858,2220,2,220,-2,R,61,R,37,R,24,Z,0,Z,0,Z,0,R,8,R,6,R,2,R,3,R,2,R,1,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,36,R,23,R,13,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,R,6,R,4
2023,100858,2230,2,230,-2,R,207,R,63,R,144,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,36,R,5,R,31,R,5,Z,0,R,5,Z,0,Z,0,Z,0,R,159,R,54,R,105,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2023,100858,2250,2,250,-2,R,205,R,44,R,161,Z,0,Z,0,Z,0,R,4,R,2,R,2,R,43,R,2,R,41,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,147,R,37,R,110,Z,0,Z,0,Z,0,R,4,Z,0,R,4,R,2,R,1,R,1
2023,100858,2260,2,260,-2,R,64,R,20,R,44,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,14,R,1,R,13,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,46,R,17,R,29,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2023,100858,2261,2,261,-2,R,13,R,7,R,6,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,11,R,6,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,2262,2,262,-2,R,25,R,5,R,20,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,22,R,5,R,17,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,2263,2,263,-2,R,26,R,8,R,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12,R,1,R,11,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,13,R,6,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2023,100858,2270,2,270,-2,R,141,R,24,R,117,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,29,R,1,R,28,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,101,R,20,R,81,Z,0,Z,0,Z,0,R,4,Z,0,R,4,R,1,Z,0,R,1
2023,100858,2300,2,300,-2,R,646,R,317,R,329,R,2,R,1,R,1,R,16,R,7,R,9,R,55,R,20,R,35,R,15,R,8,R,7,Z,0,Z,0,Z,0,R,548,R,276,R,272,R,6,R,3,R,3,R,2,R,1,R,1,R,2,R,1,R,1
2023,100858,2310,2,310,-2,R,506,R,137,R,369,R,2,R,1,R,1,R,7,R,1,R,6,R,53,R,13,R,40,R,11,R,2,R,9,Z,0,Z,0,Z,0,R,424,R,116,R,308,R,7,R,4,R,3,Z,0,Z,0,Z,0,R,2,Z,0,R,2
2023,100858,2320,2,320,-2,R,709,R,413,R,296,R,1,R,1,Z,0,R,37,R,13,R,24,R,45,R,26,R,19,R,33,R,21,R,12,Z,0,Z,0,Z,0,R,484,R,279,R,205,R,10,R,7,R,3,R,7,R,4,R,3,R,92,R,62,R,30
