year,UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,EFFYALEV,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,EFYGUKN
2019,123961,1,999,R,53186,R,24516,R,28670,R,106,R,44,R,62,R,8653,R,3765,R,4888,R,3055,R,1042,R,2013,R,7823,R,3121,R,4702,R,143,R,67,R,76,R,16018,R,7524,R,8494,R,1848,R,801,R,1047,R,2908,R,1301,R,1607,R,12632,R,6851,R,5781,,,,,,,,,,
2019,123961,2,  1,R,21909,R,10749,R,11160,R,25,R,12,R,13,R,4307,R,2047,R,2260,R,979,R,425,R,554,R,3179,R,1529,R,1650,R,55,R,41,R,14,R,8197,R,4121,R,4076,R,1214,R,551,R,663,R,954,R,499,R,455,R,2999,R,1524,R,1475,,,,,,,,,,
2019,123961,4,  3,R,31277,R,13767,R,17510,R,81,R,32,R,49,R,4346,R,1718,R,2628,R,2076,R,617,R,1459,R,4644,R,1592,R,3052,R,88,R,26,R,62,R,7821,R,3403,R,4418,R,634,R,250,R,384,R,1954,R,802,R,1152,R,9633,R,5327,R,4306,,,,,,,,,,
2019,126614,1,999,R,40353,R,22263,R,18090,R,84,R,46,R,38,R,2116,R,1118,R,998,R,647,R,381,R,266,R,4635,R,2406,R,2229,R,33,R,18,R,15,R,26545,R,14449,R,12096,R,2100,R,1073,R,1027,R,588,R,324,R,264,R,3605,R,2448,R,1157,,,,,,,,,,
2019,126614,2,  1,R,33059,R,18304,R,14755,R,52,R,32,R,20,R,1850,R,995,R,855,R,545,R,335,R,210,R,4013,R,2131,R,1882,R,29,R,17,R,12,R,22195,R,12161,R,10034,R,1897,R,967,R,930,R,248,R,152,R,96,R,2230,R,1514,R,716,,,,,,,,,,
2019,126614,4,  3,R,7294,R,3959,R,3335,R,32,R,14,R,18,R,266,R,123,R,143,R,102,R,46,R,56,R,622,R,275,R,347,R,4,R,1,R,3,R,4350,R,2288,R,2062,R,203,R,106,R,97,R,340,R,172,R,168,R,1375,R,934,R,441,,,,,,,,,,
2019,126775,1,999,R,6639,R,4676,R,1963,R,24,R,15,R,9,R,283,R,166,R,117,R,69,R,49,R,20,R,561,R,401,R,160,R,4,R,1,R,3,R,4493,R,3169,R,1324,R,339,R,217,R,122,R,102,R,77,R,25,R,764,R,581,R,183,,,,,,,,,,
2019,126775,2,  1,R,5116,R,3584,R,1532,R,19,R,14,R,5,R,230,R,135,R,95,R,54,R,39,R,15,R,475,R,344,R,131,R,3,R,1,R,2,R,3633,R,2554,R,1079,R,295,R,187,R,108,R,83,R,61,R,22,R,324,R,249,R,75,,,,,,,,,,
2019,126775,4,  3,R,1523,R,1092,R,431,R,5,R,1,R,4,R,53,R,31,R,22,R,15,R,10,R,5,R,86,R,57,R,29,R,1,R,0,R,1,R,860,R,615,R,245,R,44,R,30,R,14,R,19,R,16,R,3,R,440,R,332,R,108,,,,,,,,,,
2019,129020,1,999,R,29683,R,14396,R,15287,R,45,R,20,R,25,R,2818,R,1327,R,1491,R,1851,R,814,R,1037,R,2805,R,1242,R,1563,R,20,R,9,R,11,R,16070,R,7870,R,8200,R,821,R,386,R,435,R,1118,R,559,R,559,R,4135,R,2169,R,1966,,,,,,,,,,
2019,129020,2,  1,R,20479,R,10050,R,10429,R,30,R,13,R,17,R,2223,R,1053,R,1170,R,1329,R,595,R,734,R,2267,R,1014,R,1253,R,13,R,6,R,7,R,11471,R,5742,R,5729,R,645,R,310,R,335,R,543,R,287,R,256,R,1958,R,1030,R,928,,,,,,,,,,
2019,129020,4,  3,R,9204,R,4346,R,4858,R,15,R,7,R,8,R,595,R,274,R,321,R,522,R,219,R,303,R,538,R,228,R,310,R,7,R,3,R,4,R,4599,R,2128,R,2471,R,176,R,76,R,100,R,575,R,272,R,303,R,2177,R,1139,R,1038,,,,,,,,,,
2019,130794,1,999,R,14389,R,6972,R,7417,R,41,R,19,R,22,R,2032,R,883,R,1149,R,797,R,382,R,415,R,1361,R,636,R,725,R,10,R,3,R,7,R,5901,R,2930,R,2971,R,659,R,286,R,373,R,271,R,122,R,149,R,3317,R,1711,R,1606,,,,,,,,,,
2019,130794,2,  1,R,6748,R,3319,R,3429,R,30,R,14,R,16,R,1158,R,508,R,650,R,462,R,234,R,228,R,826,R,390,R,436,R,4,R,1,R,3,R,2617,R,1385,R,1232,R,376,R,171,R,205,R,162,R,80,R,82,R,1113,R,536,R,577,,,,,,,,,,
2019,130794,4,  3,R,7641,R,3653,R,3988,R,11,R,5,R,6,R,874,R,375,R,499,R,335,R,148,R,187,R,535,R,246,R,289,R,6,R,2,R,4,R,3284,R,1545,R,1739,R,283,R,115,R,168,R,109,R,42,R,67,R,2204,R,1175,R,1029,,,,,,,,,,
2019,130943,1,999,R,25885,R,11390,R,14495,R,29,R,16,R,13,R,1339,R,643,R,696,R,1566,R,660,R,906,R,1928,R,771,R,1157,R,19,R,6,R,13,R,17079,R,7216,R,9863,R,769,R,320,R,449,R,573,R,261,R,312,R,2583,R,1497,R,1086,,,,,,,,,,
2019,130943,2,  1,R,21190,R,9093,R,12097,R,26,R,14,R,12,R,1122,R,538,R,584,R,1304,R,565,R,739,R,1740,R,692,R,1048,R,14,R,4,R,10,R,14648,R,6124,R,8524,R,672,R,278,R,394,R,521,R,234,R,287,R,1143,R,644,R,499,,,,,,,,,,
2019,130943,4,  3,R,4695,R,2297,R,2398,R,3,R,2,R,1,R,217,R,105,R,112,R,262,R,95,R,167,R,188,R,79,R,109,R,5,R,2,R,3,R,2431,R,1092,R,1339,R,97,R,42,R,55,R,52,R,27,R,25,R,1440,R,853,R,587,,,,,,,,,,
2019,131159,1,999,R,16079,R,6200,R,9879,R,24,R,10,R,14,R,962,R,314,R,648,R,1502,R,470,R,1032,R,1897,R,671,R,1226,R,12,R,4,R,8,R,7559,R,3060,R,4499,R,580,R,215,R,365,R,1414,R,517,R,897,R,2129,R,939,R,1190,,,,,,,,,,
2019,131159,2,  1,R,9034,R,3531,R,5503,R,9,R,4,R,5,R,584,R,187,R,397,R,598,R,165,R,433,R,1094,R,361,R,733,R,6,R,2,R,4,R,4663,R,1868,R,2795,R,357,R,133,R,224,R,471,R,190,R,281,R,1252,R,621,R,631,,,,,,,,,,
2019,131159,4,  3,R,7045,R,2669,R,4376,R,15,R,6,R,9,R,378,R,127,R,251,R,904,R,305,R,599,R,803,R,310,R,493,R,6,R,2,R,4,R,2896,R,1192,R,1704,R,223,R,82,R,141,R,943,R,327,R,616,R,877,R,318,R,559,,,,,,,,,,
2019,131469,1,999,R,31641,R,12592,R,19049,R,83,R,38,R,45,R,3261,R,1199,R,2062,R,3257,R,996,R,2261,R,2687,R,978,R,1709,R,55,R,24,R,31,R,14757,R,5850,R,8907,R,905,R,296,R,609,R,2209,R,939,R,1270,R,4427,R,2272,R,2155,,,,,,,,,,
2019,131469,2,  1,R,13428,R,5212,R,8216,R,14,R,6,R,8,R,1448,R,540,R,908,R,1040,R,306,R,734,R,1379,R,483,R,896,R,20,R,13,R,7,R,6640,R,2659,R,3981,R,507,R,163,R,344,R,885,R,353,R,532,R,1495,R,689,R,806,,,,,,,,,,
2019,131469,4,  3,R,18213,R,7380,R,10833,R,69,R,32,R,37,R,1813,R,659,R,1154,R,2217,R,690,R,1527,R,1308,R,495,R,813,R,35,R,11,R,24,R,8117,R,3191,R,4926,R,398,R,133,R,265,R,1324,R,586,R,738,R,2932,R,1583,R,1349,,,,,,,,,,
2019,131496,1,999,R,22534,R,10317,R,12217,R,21,R,7,R,14,R,1878,R,798,R,1080,R,1720,R,686,R,1034,R,1763,R,763,R,1000,R,25,R,15,R,10,R,10790,R,5183,R,5607,R,695,R,301,R,394,R,1688,R,837,R,851,R,3954,R,1727,R,2227,,,,,,,,,,
2019,131496,2,  1,R,8325,R,3707,R,4618,R,2,R,1,R,1,R,786,R,302,R,484,R,513,R,210,R,303,R,789,R,340,R,449,R,3,R,1,R,2,R,3999,R,1882,R,2117,R,357,R,154,R,203,R,447,R,210,R,237,R,1429,R,607,R,822,,,,,,,,,,
2019,131496,4,  3,R,14209,R,6610,R,7599,R,19,R,6,R,13,R,1092,R,496,R,596,R,1207,R,476,R,731,R,974,R,423,R,551,R,22,R,14,R,8,R,6791,R,3301,R,3490,R,338,R,147,R,191,R,1241,R,627,R,614,R,2525,R,1120,R,1405,,,,,,,,,,
2019,131520,1,999,R,9536,R,3159,R,6377,R,23,R,3,R,20,R,304,R,118,R,186,R,7866,R,2441,R,5425,R,135,R,52,R,83,R,43,R,10,R,33,R,313,R,112,R,201,R,0,R,0,R,0,R,169,R,75,R,94,R,683,R,348,R,335,,,,,,,,,,
2019,131520,2,  1,R,6507,R,2053,R,4454,R,12,R,3,R,9,R,92,R,27,R,65,R,5637,R,1656,R,3981,R,71,R,26,R,45,R,36,R,9,R,27,R,149,R,48,R,101,R,0,R,0,R,0,R,123,R,60,R,63,R,387,R,224,R,163,,,,,,,,,,
2019,131520,4,  3,R,3029,R,1106,R,1923,R,11,R,0,R,11,R,212,R,91,R,121,R,2229,R,785,R,1444,R,64,R,26,R,38,R,7,R,1,R,6,R,164,R,64,R,100,R,0,R,0,R,0,R,46,R,15,R,31,R,296,R,124,R,172,,,,,,,,,,
2019,133951,1,999,R,72780,R,30904,R,41876,R,41,R,15,R,26,R,1873,R,862,R,1011,R,9354,R,3459,R,5895,R,46403,R,19797,R,26606,R,53,R,20,R,33,R,7400,R,3177,R,4223,R,1694,R,694,R,1000,R,491,R,240,R,251,R,5471,R,2640,R,2831,,,,,,,,,,
2019,133951,2,  1,R,59764,R,25822,R,33942,R,30,R,11,R,19,R,1363,R,650,R,713,R,7619,R,2948,R,4671,R,39848,R,17343,R,22505,R,44,R,17,R,27,R,5333,R,2309,R,3024,R,1403,R,596,R,807,R,287,R,138,R,149,R,3837,R,1810,R,2027,,,,,,,,,,
2019,133951,4,  3,R,13016,R,5082,R,7934,R,11,R,4,R,7,R,510,R,212,R,298,R,1735,R,511,R,1224,R,6555,R,2454,R,4101,R,9,R,3,R,6,R,2067,R,868,R,1199,R,291,R,98,R,193,R,204,R,102,R,102,R,1634,R,830,R,804,,,,,,,,,,
2019,134097,1,999,R,46825,R,20500,R,26325,R,88,R,33,R,55,R,1228,R,545,R,683,R,4229,R,1451,R,2778,R,8839,R,3851,R,4988,R,53,R,22,R,31,R,27727,R,12379,R,15348,R,1713,R,729,R,984,R,681,R,352,R,329,R,2267,R,1138,R,1129,,,,,,,,,,
2019,134097,2,  1,R,36720,R,16218,R,20502,R,69,R,28,R,41,R,915,R,407,R,508,R,3201,R,1150,R,2051,R,7645,R,3384,R,4261,R,42,R,18,R,24,R,21977,R,9929,R,12048,R,1438,R,620,R,818,R,497,R,253,R,244,R,936,R,429,R,507,,,,,,,,,,
2019,134097,4,  3,R,10105,R,4282,R,5823,R,19,R,5,R,14,R,313,R,138,R,175,R,1028,R,301,R,727,R,1194,R,467,R,727,R,11,R,4,R,7,R,5750,R,2450,R,3300,R,275,R,109,R,166,R,184,R,99,R,85,R,1331,R,709,R,622,,,,,,,,,,
2019,134130,1,999,R,58749,R,25958,R,32791,R,123,R,60,R,63,R,4292,R,1996,R,2296,R,3661,R,1318,R,2343,R,11001,R,4689,R,6312,R,278,R,87,R,191,R,30251,R,13160,R,17091,R,1783,R,718,R,1065,R,2314,R,1102,R,1212,R,5046,R,2828,R,2218,,,,,,,,,,
2019,134130,2,  1,R,38645,R,17032,R,21613,R,74,R,33,R,41,R,3108,R,1485,R,1623,R,2519,R,916,R,1603,R,8482,R,3655,R,4827,R,230,R,69,R,161,R,20192,R,9013,R,11179,R,1433,R,579,R,854,R,1516,R,745,R,771,R,1091,R,537,R,554,,,,,,,,,,
2019,134130,4,  3,R,20104,R,8926,R,11178,R,49,R,27,R,22,R,1184,R,511,R,673,R,1142,R,402,R,740,R,2519,R,1034,R,1485,R,48,R,18,R,30,R,10059,R,4147,R,5912,R,350,R,139,R,211,R,798,R,357,R,441,R,3955,R,2291,R,1664,,,,,,,,,,
2019,135726,1,999,R,19618,R,9074,R,10544,R,25,R,8,R,17,R,962,R,420,R,542,R,1606,R,636,R,970,R,4768,R,1970,R,2798,R,9,R,5,R,4,R,7141,R,3522,R,3619,R,591,R,272,R,319,R,1462,R,647,R,815,R,3054,R,1594,R,1460,,,,,,,,,,
2019,135726,2,  1,R,12351,R,5772,R,6579,R,15,R,5,R,10,R,582,R,258,R,324,R,1021,R,393,R,628,R,2867,R,1189,R,1678,R,4,R,3,R,1,R,4963,R,2421,R,2542,R,356,R,164,R,192,R,669,R,315,R,354,R,1874,R,1024,R,850,,,,,,,,,,
2019,135726,4,  3,R,7267,R,3302,R,3965,R,10,R,3,R,7,R,380,R,162,R,218,R,585,R,243,R,342,R,1901,R,781,R,1120,R,5,R,2,R,3,R,2178,R,1101,R,1077,R,235,R,108,R,127,R,793,R,332,R,461,R,1180,R,570,R,610,,,,,,,,,,
2019,137351,1,999,R,51808,R,22819,R,28989,R,85,R,41,R,44,R,3537,R,1578,R,1959,R,5153,R,1831,R,3322,R,9702,R,4022,R,5680,R,71,R,37,R,34,R,24311,R,10519,R,13792,R,1733,R,711,R,1022,R,1792,R,760,R,1032,R,5424,R,3320,R,2104,,,,,,,,,,
2019,137351,2,  1,R,37780,R,16898,R,20882,R,60,R,31,R,29,R,2647,R,1188,R,1459,R,3963,R,1467,R,2496,R,8064,R,3406,R,4658,R,59,R,33,R,26,R,17616,R,8007,R,9609,R,1451,R,627,R,824,R,1307,R,566,R,741,R,2613,R,1573,R,1040,,,,,,,,,,
2019,137351,4,  3,R,14028,R,5921,R,8107,R,25,R,10,R,15,R,890,R,390,R,500,R,1190,R,364,R,826,R,1638,R,616,R,1022,R,12,R,4,R,8,R,6695,R,2512,R,4183,R,282,R,84,R,198,R,485,R,194,R,291,R,2811,R,1747,R,1064,,,,,,,,,,
2019,139658,1,999,R,16024,R,6431,R,9593,R,16,R,5,R,11,R,2429,R,1036,R,1393,R,1650,R,478,R,1172,R,1184,R,452,R,732,R,13,R,8,R,5,R,6794,R,2701,R,4093,R,532,R,173,R,359,R,554,R,221,R,333,R,2852,R,1357,R,1495,,,,,,,,,,
2019,139658,2,  1,R,8026,R,3158,R,4868,R,8,R,3,R,5,R,1611,R,687,R,924,R,670,R,190,R,480,R,739,R,279,R,460,R,3,R,2,R,1,R,3066,R,1170,R,1896,R,315,R,106,R,209,R,229,R,87,R,142,R,1385,R,634,R,751,,,,,,,,,,
