year,UNITID,EFCIPLEV,CIPCODE,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
2020,221999,541,40.0000,28,2,41,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2020,221999,542,40.0000,22,2,42,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2020,221999,543,40.0000,20,2,43,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2020,221999,545,40.0000,99,2,45,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2020,221999,560,40.0000,17,2,60,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2020,221999,601,52.0000,29,3, 1,R,978,R,478,R,500,R,3,R,2,R,1,R,32,R,12,R,20,R,120,R,52,R,68,R,70,R,35,R,35,R,1,R,0,R,1,R,676,R,335,R,341,R,15,R,6,R,9,R,21,R,7,R,14,R,40,R,29,R,11
2020,221999,612,52.0000,99,3,12,R,978,R,478,R,500,R,3,R,2,R,1,R,32,R,12,R,20,R,120,R,52,R,68,R,70,R,35,R,35,R,1,R,0,R,1,R,676,R,335,R,341,R,15,R,6,R,9,R,21,R,7,R,14,R,40,R,29,R,11
2020,221999,621,52.0000,14,1,21,R,526,R,312,R,214,R,1,R,1,R,0,R,16,R,8,R,8,R,39,R,24,R,15,R,38,R,24,R,14,R,0,R,0,R,0,R,377,R,221,R,156,R,15,R,6,R,9,R,4,R,3,R,1,R,36,R,25,R,11
2020,221999,632,52.0000,11,1,32,R,526,R,312,R,214,R,1,R,1,R,0,R,16,R,8,R,8,R,39,R,24,R,15,R,38,R,24,R,14,R,0,R,0,R,0,R,377,R,221,R,156,R,15,R,6,R,9,R,4,R,3,R,1,R,36,R,25,R,11
2020,221999,641,52.0000,28,2,41,R,452,R,166,R,286,R,2,R,1,R,1,R,16,R,4,R,12,R,81,R,28,R,53,R,32,R,11,R,21,R,1,R,0,R,1,R,299,R,114,R,185,R,0,R,0,R,0,R,17,R,4,R,13,R,4,R,4,R,0
2020,221999,652,52.0000,25,2,52,R,452,R,166,R,286,R,2,R,1,R,1,R,16,R,4,R,12,R,81,R,28,R,53,R,32,R,11,R,21,R,1,R,0,R,1,R,299,R,114,R,185,R,0,R,0,R,0,R,17,R,4,R,13,R,4,R,4,R,0
2020,221999,716,22.0101,99,3,16,R,552,R,254,R,298,R,2,R,1,R,1,R,42,R,19,R,23,R,49,R,14,R,35,R,30,R,10,R,20,R,1,R,0,R,1,R,390,R,197,R,193,R,1,R,0,R,1,R,26,R,12,R,14,R,11,R,1,R,10
2020,221999,736,22.0101, 9,1,36,R,552,R,254,R,298,R,2,R,1,R,1,R,42,R,19,R,23,R,49,R,14,R,35,R,30,R,10,R,20,R,1,R,0,R,1,R,390,R,197,R,193,R,1,R,0,R,1,R,26,R,12,R,14,R,11,R,1,R,10
2020,221999,916,51.1201,99,3,16,R,379,R,182,R,197,R,2,R,0,R,2,R,71,R,38,R,33,R,27,R,10,R,17,R,39,R,22,R,17,R,1,R,1,R,0,R,184,R,85,R,99,R,23,R,10,R,13,R,16,R,9,R,7,R,16,R,7,R,9
2020,221999,936,51.1201, 9,1,36,R,379,R,182,R,197,R,2,R,0,R,2,R,71,R,38,R,33,R,27,R,10,R,17,R,39,R,22,R,17,R,1,R,1,R,0,R,184,R,85,R,99,R,23,R,10,R,13,R,16,R,9,R,7,R,16,R,7,R,9
2020,223232,101,13.0000,29,3, 1,R,1075,R,259,R,816,R,7,Z,0,R,7,R,29,R,7,R,22,R,141,R,36,R,105,R,153,R,44,R,109,Z,0,Z,0,Z,0,R,685,R,155,R,530,R,33,R,6,R,27,R,12,R,3,R,9,R,15,R,8,R,7
2020,223232,102,13.0000,99,3, 2,R,522,R,106,R,416,R,3,Z,0,R,3,R,18,R,3,R,15,R,7,R,1,R,6,R,65,R,21,R,44,Z,0,Z,0,Z,0,R,406,R,73,R,333,R,14,R,2,R,12,R,3,R,2,R,1,R,6,R,4,R,2
2020,223232,103,13.0000,99,3, 3,R,522,R,106,R,416,R,3,Z,0,R,3,R,18,R,3,R,15,R,7,R,1,R,6,R,65,R,21,R,44,Z,0,Z,0,Z,0,R,406,R,73,R,333,R,14,R,2,R,12,R,3,R,2,R,1,R,6,R,4,R,2
2020,223232,104,13.0000,99,3, 4,R,122,R,21,R,101,Z,0,Z,0,Z,0,R,5,R,1,R,4,R,1,Z,0,R,1,R,13,R,4,R,9,Z,0,Z,0,Z,0,R,92,R,13,R,79,R,7,Z,0,R,7,R,2,R,1,R,1,R,2,R,2,Z,0
2020,223232,105,13.0000,99,3, 5,R,400,R,85,R,315,R,3,Z,0,R,3,R,13,R,2,R,11,R,6,R,1,R,5,R,52,R,17,R,35,Z,0,Z,0,Z,0,R,314,R,60,R,254,R,7,R,2,R,5,R,1,R,1,Z,0,R,4,R,2,R,2
2020,223232,112,13.0000,99,3,12,R,553,R,153,R,400,R,4,Z,0,R,4,R,11,R,4,R,7,R,134,R,35,R,99,R,88,R,23,R,65,Z,0,Z,0,Z,0,R,279,R,82,R,197,R,19,R,4,R,15,R,9,R,1,R,8,R,9,R,4,R,5
2020,223232,119,13.0000,99,3,19,R,14,R,1,R,13,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,9,R,1,R,8,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2020,223232,120,13.0000,99,3,20,R,386,R,84,R,302,R,3,Z,0,R,3,R,12,R,2,R,10,R,6,R,1,R,5,R,49,R,17,R,32,Z,0,Z,0,Z,0,R,305,R,59,R,246,R,6,R,2,R,4,R,1,R,1,Z,0,R,4,R,2,R,2
2020,223232,121,13.0000,14,1,21,R,652,R,152,R,500,R,3,Z,0,R,3,R,19,R,4,R,15,R,23,R,9,R,14,R,79,R,25,R,54,Z,0,Z,0,Z,0,R,488,R,99,R,389,R,21,R,4,R,17,R,4,R,3,R,1,R,15,R,8,R,7
