year,UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
2023,170976,R,7426,R,9084,R,82,R,7024,Z,0,Z,0,R,7024,R,6858,R,98,R,26,Z,0,Z,0,R,26,R,21,R,81,R,11
2023,171100,R,9361,R,11297,R,83,R,9560,R,0,R,0,R,9560,R,8738,R,91,R,116,R,0,R,0,R,116,R,83,R,72,R,17
2023,174066,R,6697,R,15291,R,44,R,6705,R,0,Z,0,R,6705,R,6092,R,91,R,32,R,0,Z,0,R,32,R,22,R,69,R,16
2023,179867,R,1823,R,2260,R,81,R,1808,R,1,R,0,R,1807,R,1733,R,96,R,5,R,0,R,0,R,5,R,5,R,100,R,7
2023,182670,R,1206,R,1308,R,92,R,1124,R,0,R,0,R,1124,R,1099,R,98,A,,A,,A,,A,,A,,A,,R,7
2023,185828,R,1635,R,3199,R,51,R,1465,R,0,Z,0,R,1465,R,1329,R,91,R,110,R,0,Z,0,R,110,R,74,R,67,R,16
2023,186131,R,1364,R,1478,R,92,R,1497,R,0,Z,0,R,1497,R,1457,R,97,A,,A,,A,,A,,A,,A,,R,5
2023,186371,R,575,R,1166,R,49,R,524,R,0,R,0,R,524,R,429,R,82,R,4,R,0,R,0,R,4,R,2,R,50,R,12
2023,186380,R,7670,R,9932,R,77,R,7526,R,0,R,0,R,7526,R,6971,R,93,R,11,R,0,R,0,R,11,R,7,R,64,R,15
2023,186399,R,1403,R,2350,R,60,R,1232,R,0,R,0,R,1232,R,1038,R,84,R,7,R,0,R,0,R,7,R,3,R,43,R,13
2023,186867,R,1024,R,1064,R,96,R,1010,R,1,Z,0,R,1009,R,953,R,94,A,,A,,A,,A,,A,,A,,R,10
2023,190415,R,3537,R,4282,R,83,R,3491,R,8,R,0,R,3483,R,3407,R,98,A,,A,,A,,A,,A,,A,,R,9
