year,UNITID,SISCAT,FACSTAT,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2022,151351,441,44,1,R,5,R,4,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,4,R,3,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,151351,442,44,2,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,151351,443,44,3,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,151351,445,44,5,R,5,R,2,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,151351,450,45,0,R,584,R,285,R,299,R,1,R,1,R,0,R,34,R,8,R,26,R,24,R,16,R,8,R,28,R,13,R,15,R,0,R,0,R,0,R,464,R,226,R,238,R,4,R,3,R,1,R,3,R,3,R,0,R,26,R,15,R,11
2022,151351,451,45,1,R,91,R,49,R,42,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,7,R,6,R,1,R,6,R,5,R,1,Z,0,Z,0,Z,0,R,74,R,36,R,38,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1
2022,151351,452,45,2,R,51,R,23,R,28,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,R,3,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,44,R,18,R,26,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2022,151351,453,45,3,R,46,R,16,R,30,Z,0,Z,0,Z,0,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,33,R,11,R,22,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,4,R,4,Z,0
2022,151351,455,45,5,R,396,R,197,R,199,R,1,R,1,Z,0,R,28,R,6,R,22,R,13,R,7,R,6,R,17,R,8,R,9,Z,0,Z,0,Z,0,R,313,R,161,R,152,R,2,R,2,Z,0,R,3,R,3,Z,0,R,19,R,9,R,10
2022,152080,  1, 0,0,R,1282,R,860,R,422,R,2,R,1,R,1,R,121,R,83,R,38,R,33,R,20,R,13,R,76,R,45,R,31,Z,0,Z,0,Z,0,R,912,R,621,R,291,R,30,R,16,R,14,R,27,R,18,R,9,R,81,R,56,R,25
2022,152080,100,10,0,R,1253,R,841,R,412,R,2,R,1,R,1,R,121,R,83,R,38,R,33,R,20,R,13,R,76,R,45,R,31,Z,0,Z,0,Z,0,R,891,R,609,R,282,R,30,R,16,R,14,R,26,R,17,R,9,R,74,R,50,R,24
2022,152080,101,10,1,R,440,R,352,R,88,R,1,R,1,Z,0,R,46,R,37,R,9,R,9,R,8,R,1,R,19,R,13,R,6,Z,0,Z,0,Z,0,R,350,R,281,R,69,R,11,R,9,R,2,R,3,R,2,R,1,R,1,R,1,Z,0
2022,152080,102,10,2,R,275,R,175,R,100,Z,0,Z,0,Z,0,R,33,R,22,R,11,R,6,R,2,R,4,R,19,R,12,R,7,Z,0,Z,0,Z,0,R,204,R,131,R,73,R,7,R,4,R,3,R,4,R,3,R,1,R,2,R,1,R,1
2022,152080,103,10,3,R,198,R,126,R,72,Z,0,Z,0,Z,0,R,22,R,16,R,6,R,10,R,7,R,3,R,19,R,12,R,7,Z,0,Z,0,Z,0,R,92,R,55,R,37,R,4,R,1,R,3,R,9,R,5,R,4,R,42,R,30,R,12
