year,UNITID,SNHCAT,OCCUPCAT,FACSTAT,SGTYPE,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2019,100858,25000,250, 0,-2,R,8,R,3,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,6,R,3,R,3,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0
2019,100858,30000,300, 0,-2,R,10,R,8,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,R,8,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,100858,31000,310, 0,-2,R,22,R,8,R,14,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,20,R,7,R,13,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,100858,32000,320, 0,-2,R,43,R,23,R,20,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,R,2,R,2,R,2,R,1,R,1,R,1,R,1,Z,0,R,25,R,13,R,12,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,10,R,5,R,5
2019,100858,33000,330, 0,-2,R,40,R,7,R,33,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,12,R,1,R,11,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,24,R,6,R,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,100858,34000,340, 0,-2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,100858,35000,350, 0,-2,R,13,R,6,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,11,R,5,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,100858,37000,370, 0,-2,R,16,R,1,R,15,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,R,1,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12,Z,0,R,12,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,100858,38000,380, 0,-2,R,11,R,9,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,11,R,9,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,100858,39000,390, 0,-2,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110404,10000,100, 0, 1,R,531,R,329,R,202,Z,0,Z,0,Z,0,R,56,R,28,R,28,R,16,R,8,R,8,R,82,R,44,R,38,Z,0,Z,0,Z,0,R,150,R,82,R,68,R,9,R,3,R,6,R,7,R,6,R,1,R,211,R,158,R,53
2019,110404,20000,200, 0, 2,R,264,R,198,R,66,Z,0,Z,0,Z,0,R,16,R,11,R,5,R,2,R,1,R,1,R,5,R,5,Z,0,Z,0,Z,0,Z,0,R,55,R,38,R,17,R,1,Z,0,R,1,R,4,R,4,Z,0,R,181,R,139,R,42
2019,110404,21000,210, 0,-2,R,18,R,12,R,6,Z,0,Z,0,Z,0,R,3,R,3,Z,0,R,2,R,1,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,8,R,6,R,2
2019,110404,21010,210,10,-2,R,14,R,8,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,7,R,5,R,2
2019,110404,21020,210,20,-2,R,5,R,2,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,1,R,2
2019,110404,21030,210,30,-2,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2019,110404,21040,210,40,-2,R,6,R,5,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,3,R,3,Z,0
2019,110404,21041,210,41,-2,R,4,R,3,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,2,R,2,Z,0
2019,110404,21042,210,42,-2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2019,110404,21043,210,43,-2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110404,21044,210,44,-2,R,4,R,3,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,2,R,2,Z,0
2019,110404,21050,210,50,-2,R,4,R,4,Z,0,Z,0,Z,0,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2019,110404,22000,220, 0,-2,R,246,R,186,R,60,Z,0,Z,0,Z,0,R,13,R,8,R,5,Z,0,Z,0,Z,0,R,4,R,4,Z,0,Z,0,Z,0,Z,0,R,52,R,38,R,14,R,1,Z,0,R,1,R,3,R,3,Z,0,R,173,R,133,R,40
2019,110404,25000,250, 0,-2,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110404,30000,300, 0,-2,R,12,R,7,R,5,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,3,R,2,R,1,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,6,R,2,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110404,31000,310, 0,-2,R,24,R,8,R,16,Z,0,Z,0,Z,0,R,6,R,2,R,4,R,2,R,1,R,1,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,10,R,3,R,7,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,2,R,1,R,1
2019,110404,32000,320, 0,-2,R,97,R,59,R,38,Z,0,Z,0,Z,0,R,22,R,13,R,9,Z,0,Z,0,Z,0,R,14,R,8,R,6,Z,0,Z,0,Z,0,R,32,R,19,R,13,R,6,R,3,R,3,Z,0,Z,0,Z,0,R,23,R,16,R,7
2019,110404,33000,330, 0,-2,R,9,R,5,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,8,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110404,35000,350, 0,-2,R,54,R,32,R,22,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,5,R,4,R,1,R,31,R,17,R,14,Z,0,Z,0,Z,0,R,10,R,7,R,3,Z,0,Z,0,Z,0,R,2,R,2,Z,0,R,4,R,2,R,2
2019,110404,37000,370, 0,-2,R,52,R,6,R,46,Z,0,Z,0,Z,0,R,9,R,1,R,8,R,4,Z,0,R,4,R,17,R,2,R,15,Z,0,Z,0,Z,0,R,21,R,3,R,18,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110404,38000,380, 0,-2,R,16,R,14,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8,R,8,Z,0,Z,0,Z,0,Z,0,R,7,R,6,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1
2019,110635,10000,100, 0, 1,R,1496,R,700,R,796,R,5,R,2,R,3,R,154,R,66,R,88,R,104,R,44,R,60,R,141,R,54,R,87,R,3,R,1,R,2,R,454,R,203,R,251,R,40,R,10,R,30,R,195,R,82,R,113,R,400,R,238,R,162
2019,110635,20000,200, 0, 2,R,566,R,333,R,233,Z,0,Z,0,Z,0,R,37,R,14,R,23,R,15,R,7,R,8,R,18,R,11,R,7,Z,0,Z,0,Z,0,R,146,R,80,R,66,R,8,R,4,R,4,R,45,R,23,R,22,R,297,R,194,R,103
2019,110635,21000,210, 0,-2,R,127,R,65,R,62,Z,0,Z,0,Z,0,R,13,R,3,R,10,R,10,R,5,R,5,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,51,R,26,R,25,R,3,R,2,R,1,R,16,R,8,R,8,R,31,R,19,R,12
2019,110635,21010,210,10,-2,R,125,R,64,R,61,Z,0,Z,0,Z,0,R,13,R,3,R,10,R,10,R,5,R,5,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,51,R,26,R,25,R,3,R,2,R,1,R,14,R,7,R,7,R,31,R,19,R,12
2019,110635,21020,210,20,-2,R,15,R,9,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,2,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,3,R,4,R,1,R,1,Z,0,R,1,R,1,Z,0,R,3,R,2,R,1
2019,110635,21030,210,30,-2,R,48,R,22,R,26,Z,0,Z,0,Z,0,R,7,R,2,R,5,R,6,R,2,R,4,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,15,R,7,R,8,R,2,R,1,R,1,R,4,R,2,R,2,R,13,R,8,R,5
2019,110635,21040,210,40,-2,R,62,R,33,R,29,Z,0,Z,0,Z,0,R,6,R,1,R,5,R,1,R,1,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,29,R,16,R,13,Z,0,Z,0,Z,0,R,9,R,4,R,5,R,15,R,9,R,6
2019,110635,21041,210,41,-2,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,R,1,Z,0
2019,110635,21042,210,42,-2,R,58,R,29,R,29,Z,0,Z,0,Z,0,R,6,R,1,R,5,R,1,R,1,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,27,R,14,R,13,Z,0,Z,0,Z,0,R,8,R,3,R,5,R,14,R,8,R,6
2019,110635,21044,210,44,-2,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,R,1,Z,0
2019,110635,21050,210,50,-2,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0
2019,110635,22000,220, 0,-2,R,433,R,266,R,167,Z,0,Z,0,Z,0,R,22,R,11,R,11,R,5,R,2,R,3,R,15,R,9,R,6,Z,0,Z,0,Z,0,R,92,R,52,R,40,R,5,R,2,R,3,R,28,R,15,R,13,R,266,R,175,R,91
2019,110635,23000,230, 0,-2,R,6,R,2,R,4,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0
2019,110635,25000,250, 0,-2,R,154,R,45,R,109,R,2,R,1,R,1,R,19,R,5,R,14,R,24,R,11,R,13,R,24,R,9,R,15,Z,0,Z,0,Z,0,R,45,R,11,R,34,R,7,R,1,R,6,R,20,R,3,R,17,R,13,R,4,R,9
2019,110635,30000,300, 0,-2,R,45,R,19,R,26,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,5,R,4,R,1,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,24,R,9,R,15,R,1,Z,0,R,1,R,5,R,3,R,2,R,5,R,1,R,4
2019,110635,31000,310, 0,-2,R,244,R,81,R,163,R,2,Z,0,R,2,R,31,R,17,R,14,R,18,R,3,R,15,R,36,R,10,R,26,R,1,Z,0,R,1,R,84,R,27,R,57,R,10,R,3,R,7,R,38,R,11,R,27,R,24,R,10,R,14
2019,110635,32000,320, 0,-2,R,100,R,57,R,43,Z,0,Z,0,Z,0,R,18,R,10,R,8,R,2,R,1,R,1,R,7,R,5,R,2,Z,0,Z,0,Z,0,R,32,R,19,R,13,R,3,R,1,R,2,R,16,R,8,R,8,R,22,R,13,R,9
2019,110635,33000,330, 0,-2,R,105,R,52,R,53,Z,0,Z,0,Z,0,R,8,R,3,R,5,R,9,R,2,R,7,R,8,R,2,R,6,Z,0,Z,0,Z,0,R,52,R,26,R,26,R,1,R,1,Z,0,R,18,R,12,R,6,R,9,R,6,R,3
2019,110635,34000,340, 0,-2,R,30,R,8,R,22,Z,0,Z,0,Z,0,R,8,R,4,R,4,R,1,Z,0,R,1,R,5,Z,0,R,5,Z,0,Z,0,Z,0,R,7,R,3,R,4,R,1,Z,0,R,1,R,4,Z,0,R,4,R,4,R,1,R,3
2019,110635,35000,350, 0,-2,R,80,R,36,R,44,R,1,R,1,Z,0,R,10,R,1,R,9,R,15,R,10,R,5,R,16,R,7,R,9,R,1,R,1,Z,0,R,12,R,8,R,4,R,1,Z,0,R,1,R,15,R,7,R,8,R,9,R,1,R,8
2019,110635,37000,370, 0,-2,R,143,R,45,R,98,Z,0,Z,0,Z,0,R,18,R,8,R,10,R,10,R,4,R,6,R,20,R,6,R,14,R,1,Z,0,R,1,R,45,R,13,R,32,R,8,Z,0,R,8,R,25,R,7,R,18,R,16,R,7,R,9
2019,110635,38000,380, 0,-2,R,23,R,21,R,2,Z,0,Z,0,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,7,R,7,Z,0,Z,0,Z,0,Z,0,R,9,R,8,R,1,R,1,R,1,Z,0
2019,110635,39000,390, 0,-2,R,6,R,3,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,2,R,3,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110644,10000,100, 0, 1,R,1461,R,627,R,834,R,4,R,3,R,1,R,198,R,71,R,127,R,70,R,24,R,46,R,193,R,85,R,108,R,4,R,1,R,3,R,628,R,259,R,369,R,27,R,12,R,15,R,109,R,41,R,68,R,228,R,131,R,97
2019,110644,20000,200, 0, 2,R,532,R,261,R,271,R,2,R,2,Z,0,R,64,R,27,R,37,R,10,R,2,R,8,R,28,R,10,R,18,Z,0,Z,0,Z,0,R,172,R,78,R,94,R,6,R,2,R,4,R,38,R,14,R,24,R,212,R,126,R,86
2019,110644,21000,210, 0,-2,R,132,R,69,R,63,Z,0,Z,0,Z,0,R,19,R,10,R,9,R,6,Z,0,R,6,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,55,R,30,R,25,R,2,R,1,R,1,R,16,R,8,R,8,R,30,R,19,R,11
2019,110644,21010,210,10,-2,R,131,R,69,R,62,Z,0,Z,0,Z,0,R,19,R,10,R,9,R,6,Z,0,R,6,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,55,R,30,R,25,R,2,R,1,R,1,R,16,R,8,R,8,R,30,R,19,R,11
2019,110644,21020,210,20,-2,R,15,R,10,R,5,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,1,Z,0,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,Z,0,Z,0,Z,0,R,3,R,1,R,2,R,2,R,2,Z,0
2019,110644,21030,210,30,-2,R,40,R,17,R,23,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,2,Z,0,R,2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,20,R,9,R,11,R,1,Z,0,R,1,R,4,Z,0,R,4,R,11,R,7,R,4
2019,110644,21040,210,40,-2,R,76,R,42,R,34,Z,0,Z,0,Z,0,R,15,R,7,R,8,R,3,Z,0,R,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,30,R,17,R,13,R,1,R,1,Z,0,R,9,R,7,R,2,R,17,R,10,R,7
2019,110644,21041,210,41,-2,R,44,R,23,R,21,Z,0,Z,0,Z,0,R,14,R,6,R,8,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,18,R,11,R,7,R,1,R,1,Z,0,R,5,R,4,R,1,R,3,R,1,R,2
2019,110644,21042,210,42,-2,R,32,R,19,R,13,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,12,R,6,R,6,Z,0,Z,0,Z,0,R,4,R,3,R,1,R,14,R,9,R,5
2019,110644,21044,210,44,-2,R,44,R,23,R,21,Z,0,Z,0,Z,0,R,14,R,6,R,8,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,18,R,11,R,7,R,1,R,1,Z,0,R,5,R,4,R,1,R,3,R,1,R,2
2019,110644,21050,210,50,-2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110644,22000,220, 0,-2,R,398,R,191,R,207,R,2,R,2,Z,0,R,45,R,17,R,28,R,4,R,2,R,2,R,24,R,9,R,15,Z,0,Z,0,Z,0,R,116,R,47,R,69,R,4,R,1,R,3,R,21,R,6,R,15,R,182,R,107,R,75
2019,110644,23000,230, 0,-2,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0
2019,110644,25000,250, 0,-2,R,86,R,28,R,58,Z,0,Z,0,Z,0,R,11,R,6,R,5,R,9,R,3,R,6,R,13,R,4,R,9,Z,0,Z,0,Z,0,R,38,R,11,R,27,R,5,R,1,R,4,R,9,R,3,R,6,R,1,Z,0,R,1
2019,110644,30000,300, 0,-2,R,29,R,11,R,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,2,R,3,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,20,R,7,R,13,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0
2019,110644,31000,310, 0,-2,R,115,R,43,R,72,Z,0,Z,0,Z,0,R,13,R,1,R,12,R,9,R,1,R,8,R,21,R,12,R,9,Z,0,Z,0,Z,0,R,57,R,24,R,33,R,1,R,1,Z,0,R,11,R,4,R,7,R,3,Z,0,R,3
2019,110644,32000,320, 0,-2,R,211,R,94,R,117,Z,0,Z,0,Z,0,R,45,R,15,R,30,R,11,R,6,R,5,R,28,R,13,R,15,R,2,Z,0,R,2,R,100,R,48,R,52,R,2,R,1,R,1,R,15,R,7,R,8,R,8,R,4,R,4
2019,110644,33000,330, 0,-2,R,70,R,28,R,42,Z,0,Z,0,Z,0,R,8,R,1,R,7,R,4,R,1,R,3,R,16,R,7,R,9,Z,0,Z,0,Z,0,R,35,R,15,R,20,R,4,R,3,R,1,R,2,R,1,R,1,R,1,Z,0,R,1
2019,110644,34000,340, 0,-2,R,101,R,29,R,72,Z,0,Z,0,Z,0,R,26,R,10,R,16,R,2,Z,0,R,2,R,9,R,5,R,4,Z,0,Z,0,Z,0,R,52,R,12,R,40,R,1,Z,0,R,1,R,8,R,1,R,7,R,3,R,1,R,2
2019,110644,35000,350, 0,-2,R,137,R,74,R,63,R,1,R,1,Z,0,R,10,R,5,R,5,R,11,R,7,R,4,R,30,R,16,R,14,R,2,R,1,R,1,R,66,R,33,R,33,R,4,R,3,R,1,R,13,R,8,R,5,Z,0,Z,0,Z,0
2019,110644,36000,360, 0,-2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,110644,37000,370, 0,-2,R,134,R,22,R,112,R,1,Z,0,R,1,R,20,R,5,R,15,R,9,R,2,R,7,R,28,R,4,R,24,Z,0,Z,0,Z,0,R,65,R,11,R,54,R,1,Z,0,R,1,R,10,Z,0,R,10,Z,0,Z,0,Z,0
