year,UNITID,CIPCODE,PTOTAL,PTOTALDE,PASSOC,PASSOCDE,PBACHL,PBACHLDE,PMASTR,PMASTRDE,PDOCRS,PDOCRSDE,PDOCPP,PDOCPPDE,PDOCOT,PDOCOTDE,PCERT1,PCERT1DE,PCERT2,PCERT2DE,PCERT4,PCERT4DE,PPBACC,PPBACCDE,PPMAST,PPMASTDE,PTOTALDES,PASSOCDES,PBACHLDES,PMASTRDES,PDOCRSDES,PDOCPPDES,PDOCOTDES,PCERT1A,PCERT1ADE,PCERT1ADES,PCERT1B,PCERT1BDE,PCERT1BDES,PCERT2DES,PCERT4DES,PPBACCDES,PPMASTDES  
2019,100858,11.1003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13     ,39,9,0,0,13,0,8,5,7,0,0,0,3,0,0,0,0,0,0,0,7,3,1,1,,,,,,,,,,,,,,,,,
2019,100858,13.0101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
2019,100858,13.0401,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.0501,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1099,4,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1101,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1201,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1202,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1205,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1206,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1210,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1305,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1306,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1307,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1311,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,13.1312,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
