year,UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
20,134130,R,6160,R,2,R,6158,R,4208,R,68,R,5462,R,89,R,0,R,6158,R,58,R,20,R,5520,R,90,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,135726,R,1987,R,6,R,1981,R,1382,R,70,R,1622,R,82,R,0,R,1981,R,19,R,4,R,1641,R,83,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,137351,R,4482,R,1,R,4481,R,2330,R,52,R,3208,R,72,R,0,R,4481,R,92,R,168,R,3300,R,74,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,139658,R,1363,R,7,R,1356,R,1122,R,83,R,1222,R,90,R,-4,R,1360,R,13,R,2,R,1235,R,91,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,139755,R,3042,R,0,R,3042,R,1218,R,40,R,2657,R,87,Z,0,R,3042,R,60,R,10,R,2717,R,89,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,139959,R,4922,R,0,R,4922,R,3207,R,65,R,4169,R,85,R,0,R,4922,R,55,R,13,R,4224,R,86,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,144050,R,1526,R,1,R,1525,R,1356,R,89,R,1436,R,94,R,0,R,1525,R,9,R,17,R,1445,R,95,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,145600,R,3101,R,8,R,3093,R,1047,R,34,R,1836,R,59,R,0,R,3093,R,66,R,22,R,1902,R,61,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,145637,R,6914,R,8,R,6906,R,4822,R,70,R,5824,R,84,R,0,R,6906,R,86,R,18,R,5910,R,86,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,147767,R,2037,R,3,R,2034,R,1709,R,84,R,1925,R,95,R,0,R,2034,R,20,R,2,R,1945,R,96,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,151351,R,7574,R,5,R,7569,R,4843,R,64,R,5903,R,78,R,0,R,7569,R,135,R,49,R,6038,R,80,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,152080,R,2014,R,7,R,2007,R,1836,R,91,R,1946,R,97,R,0,R,2007,R,2,R,2,R,1948,R,97,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,160472,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,28,R,0,R,28,R,10,R,36,R,20,R,71,Z,0,R,28,R,0,Z,0,R,20,R,71
20,160755,R,1641,R,2,R,1639,R,1228,R,75,R,1399,R,85,Z,0,R,1639,R,8,R,4,R,1407,R,86,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,162928,R,1391,R,7,R,1384,R,1204,R,87,R,1287,R,93,Z,0,R,1384,R,7,R,2,R,1294,R,93,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,163286,R,3889,R,0,R,3889,R,2735,R,70,R,3356,R,86,R,0,R,3889,R,46,R,10,R,3402,R,87,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,164924,R,2288,R,4,R,2284,R,2017,R,88,R,2099,R,92,R,0,R,2284,R,14,R,0,R,2113,R,93,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,164988,R,3877,R,6,R,3871,R,3235,R,84,R,3413,R,88,R,1,R,3870,R,11,R,5,R,3424,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,165015,R,820,R,0,R,820,R,657,R,80,R,722,R,88,R,0,R,820,R,3,R,2,R,725,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,166027,R,1662,R,0,R,1662,R,1441,R,87,R,1624,R,98,R,1,R,1661,R,8,R,5,R,1632,R,98,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
