year,UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW ,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
2018,130794,R,4184,R,2105,R,2079,R,15,R,6,R,9,R,500,R,220,R,280,R,205,R,97,R,108,R,321,R,160,R,161,R,5,R,2,R,3,R,1961,R,1014,R,947,R,176,R,73,R,103,R,55,R,28,R,27,R,946,R,505,R,441,,,,,,,,,,,,,,,,,,,,,
2018,130943,R,5736,R,2400,R,3336,R,4,R,2,R,2,R,281,R,108,R,173,R,284,R,100,R,184,R,391,R,147,R,244,R,2,R,0,R,2,R,3984,R,1635,R,2349,R,168,R,65,R,103,R,55,R,21,R,34,R,567,R,322,R,245,,,,,,,,,,,,,,,,,,,,,
2018,131159,R,3810,R,1402,R,2408,R,4,R,1,R,3,R,265,R,86,R,179,R,353,R,107,R,246,R,366,R,125,R,241,R,2,R,0,R,2,R,1961,R,773,R,1188,R,138,R,35,R,103,R,326,R,119,R,207,R,395,R,156,R,239,,,,,,,,,,,,,,,,,,,,,
2018,131469,R,9592,R,3985,R,5607,R,21,R,9,R,12,R,841,R,307,R,534,R,919,R,291,R,628,R,664,R,267,R,397,R,17,R,8,R,9,R,4506,R,1826,R,2680,R,267,R,98,R,169,R,715,R,333,R,382,R,1642,R,846,R,796,,,,,,,,,,,,,,,,,,,,,
2018,131496,R,6617,R,2997,R,3620,R,10,R,6,R,4,R,537,R,219,R,318,R,497,R,187,R,310,R,422,R,204,R,218,R,10,R,7,R,3,R,3359,R,1590,R,1769,R,160,R,62,R,98,R,405,R,215,R,190,R,1217,R,507,R,710,,,,,,,,,,,,,,,,,,,,,
2018,131520,R,2053,R,676,R,1377,R,2,R,1,R,1,R,73,R,35,R,38,R,1703,R,500,R,1203,R,34,R,16,R,18,R,5,R,1,R,4,R,74,R,31,R,43,R,0,R,0,R,0,R,0,R,0,R,0,R,162,R,92,R,70,,,,,,,,,,,,,,,,,,,,,
2018,133951,R,14019,R,5587,R,8432,R,11,R,4,R,7,R,387,R,159,R,228,R,1663,R,559,R,1104,R,8632,R,3415,R,5217,R,10,R,4,R,6,R,1577,R,687,R,890,R,323,R,114,R,209,R,86,R,44,R,42,R,1330,R,601,R,729,,,,,,,,,,,,,,,,,,,,,
2018,134097,R,11625,R,5047,R,6578,R,23,R,7,R,16,R,263,R,117,R,146,R,960,R,341,R,619,R,2024,R,858,R,1166,R,12,R,8,R,4,R,7239,R,3210,R,4029,R,375,R,159,R,216,R,122,R,53,R,69,R,607,R,294,R,313,,,,,,,,,,,,,,,,,,,,,
2018,134130,R,14497,R,6542,R,7955,R,43,R,20,R,23,R,943,R,427,R,516,R,777,R,298,R,479,R,2389,R,949,R,1440,R,88,R,31,R,57,R,7656,R,3331,R,4325,R,289,R,110,R,179,R,472,R,223,R,249,R,1840,R,1153,R,687,,,,,,,,,,,,,,,,,,,,,
2018,135726,R,5010,R,2328,R,2682,R,6,R,4,R,2,R,261,R,128,R,133,R,390,R,146,R,244,R,1167,R,455,R,712,R,3,R,2,R,1,R,1885,R,954,R,931,R,161,R,67,R,94,R,352,R,183,R,169,R,785,R,389,R,396,,,,,,,,,,,,,,,,,,,,,
