year,UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW 
2022,110404, 3,13,1,1,999,R,221,R,118,R,103,Z,0,Z,0,Z,0,R,75,R,36,R,39,R,4,R,3,R,1,R,26,R,21,R,5,Z,0,Z,0,Z,0,R,65,R,34,R,31,R,26,R,12,R,14,Z,0,Z,0,Z,0,R,25,R,12,R,13
2022,110404, 4,20,1,1,999,R,8,R,4,R,4,Z,0,Z,0,Z,0,R,1,R,1,R,0,R,0,R,0,R,0,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,0,R,0,R,0
2022,110404, 6,10,2,2,10 ,R,235,R,128,R,107,Z,0,Z,0,Z,0,R,76,R,37,R,39,R,4,R,3,R,1,R,30,R,25,R,5,Z,0,Z,0,Z,0,R,70,R,38,R,32,R,30,R,13,R,17,Z,0,Z,0,Z,0,R,25,R,12,R,13
2022,110404, 8,12,2,2,50 ,R,235,R,128,R,107,Z,0,Z,0,Z,0,R,76,R,37,R,39,R,4,R,3,R,1,R,30,R,25,R,5,Z,0,Z,0,Z,0,R,70,R,38,R,32,R,30,R,13,R,17,Z,0,Z,0,Z,0,R,25,R,12,R,13
2022,110404, 9,13,2,2,29A,R,221,R,118,R,103,Z,0,Z,0,Z,0,R,75,R,36,R,39,R,4,R,3,R,1,R,26,R,21,R,5,Z,0,Z,0,Z,0,R,65,R,34,R,31,R,26,R,12,R,14,Z,0,Z,0,Z,0,R,25,R,12,R,13
2022,110404,12,16,2,2,18A,R,221,R,118,R,103,Z,0,Z,0,Z,0,R,75,R,36,R,39,R,4,R,3,R,1,R,26,R,21,R,5,Z,0,Z,0,Z,0,R,65,R,34,R,31,R,26,R,12,R,14,Z,0,Z,0,Z,0,R,25,R,12,R,13
2022,110404,13,17,2,2,19 ,R,191,R,102,R,89,Z,0,Z,0,Z,0,R,69,R,34,R,35,R,3,R,3,R,0,R,19,R,14,R,5,Z,0,Z,0,Z,0,R,56,R,30,R,26,R,22,R,11,R,11,Z,0,Z,0,Z,0,R,22,R,10,R,12
2022,110404,14,18,2,2,20 ,R,25,R,14,R,11,Z,0,Z,0,Z,0,R,4,R,2,R,2,R,1,R,0,R,1,R,6,R,6,R,0,Z,0,Z,0,Z,0,R,7,R,3,R,4,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,3,R,2,R,1
2022,110404,15,19,2,2,21 ,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,2,R,0,R,2,R,0,R,0,R,0,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,0,R,0,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0
2022,110404,16,20,2,2,30 ,R,8,R,4,R,4,Z,0,Z,0,Z,0,R,1,R,1,R,0,R,0,R,0,R,0,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,0,R,0,R,0
2022,110404,41,31,1,1,999,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0
2022,110404,42,32,1,1,999,R,5,R,5,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,2,R,0,Z,0,Z,0,Z,0,R,3,R,3,R,0,R,0,R,0,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0
2022,110404,43,31,2,2,22 ,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0
2022,110404,44,32,2,2,23 ,R,5,R,5,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,2,R,0,Z,0,Z,0,Z,0,R,3,R,3,R,0,R,0,R,0,R,0,Z,0,Z,0,Z,0,R,0,R,0,R,0
2022,110635, 2,12,1,1,999,R,6199,R,3016,R,3183,R,4,R,3,R,1,R,2394,R,1178,R,1216,R,93,R,31,R,62,R,838,R,327,R,511,R,15,R,5,R,10,R,1547,R,736,R,811,R,311,R,140,R,171,R,256,R,202,R,54,R,741,R,394,R,347
2022,110635, 3,13,1,1,999,R,5829,R,2792,R,3037,R,4,R,3,R,1,R,2305,R,1130,R,1175,R,75,R,19,R,56,R,733,R,270,R,463,R,14,R,5,R,9,R,1473,R,686,R,787,R,286,R,125,R,161,R,244,R,191,R,53,R,695,R,363,R,332
2022,110635, 6,10,2,2,10 ,R,6199,R,3016,R,3183,R,4,R,3,R,1,R,2394,R,1178,R,1216,R,93,R,31,R,62,R,838,R,327,R,511,R,15,R,5,R,10,R,1547,R,736,R,811,R,311,R,140,R,171,R,256,R,202,R,54,R,741,R,394,R,347
2022,110635, 8,12,2,2,50 ,R,6199,R,3016,R,3183,R,4,R,3,R,1,R,2394,R,1178,R,1216,R,93,R,31,R,62,R,838,R,327,R,511,R,15,R,5,R,10,R,1547,R,736,R,811,R,311,R,140,R,171,R,256,R,202,R,54,R,741,R,394,R,347
2022,110635, 9,13,2,2,29A,R,5829,R,2792,R,3037,R,4,R,3,R,1,R,2305,R,1130,R,1175,R,75,R,19,R,56,R,733,R,270,R,463,R,14,R,5,R,9,R,1473,R,686,R,787,R,286,R,125,R,161,R,244,R,191,R,53,R,695,R,363,R,332
2022,110635,12,16,2,2,18A,R,5829,R,2792,R,3037,R,4,R,3,R,1,R,2305,R,1130,R,1175,R,75,R,19,R,56,R,733,R,270,R,463,R,14,R,5,R,9,R,1473,R,686,R,787,R,286,R,125,R,161,R,244,R,191,R,53,R,695,R,363,R,332
2022,110635,13,17,2,2,19 ,R,5066,R,2403,R,2663,R,2,R,1,R,1,R,2070,R,998,R,1072,R,60,R,14,R,46,R,555,R,201,R,354,R,11,R,4,R,7,R,1297,R,594,R,703,R,245,R,104,R,141,R,222,R,174,R,48,R,604,R,313,R,291
